Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk,Year
Redskins  Redskins,36.1,2744,76,40.6,59,3084,28,4,8,6,26,32,220,0,0,2009
Buccaneers  Buccaneers,36.3,3155,87,41.7,63,3626,24,9,15,8,17,38,311,0,0,2009
Seahawks  Seahawks,38.7,3441,89,46.1,70,4100,29,4,16,9,17,43,479,1,0,2009
49ers  49ers,41.0,4056,99,47.6,64,4711,30,2,18,8,14,57,495,0,0,2009
Chargers  Chargers,39.2,2037,52,45.0,65,2342,23,4,7,2,16,23,265,1,0,2009
Steelers  Steelers,37.1,2669,72,42.7,60,3074,29,2,15,4,18,33,325,0,0,2009
Cardinals  Cardinals,40.6,3492,86,47.0,64,4045,42,8,14,3,14,47,493,0,0,2009
Eagles  Eagles,38.3,2913,76,42.4,61,3222,26,14,4,4,15,39,229,0,0,2009
Jets  Jets,36.7,2939,80,42.0,66,3357,25,7,11,9,26,27,238,0,0,2009
Giants  Giants,36.0,2306,64,40.7,59,2604,23,17,3,2,14,28,258,1,0,2009
Saints  Saints,36.0,2090,58,43.6,60,2528,18,4,12,4,13,25,358,1,0,2009
Patriots  Patriots,34.1,1941,56,39.0,56,2221,18,8,7,5,16,20,180,0,1,2009
Vikings  Vikings,37.8,2762,73,43.9,60,3202,24,9,9,9,13,33,260,1,0,2009
Dolphins  Dolphins,39.8,2983,75,46.3,66,3472,25,5,8,6,13,43,369,0,0,2009
Raiders  Raiders,43.9,4210,96,51.1,70,4909,30,2,6,12,13,63,459,0,0,2009
Rams  Rams,41.7,3752,90,46.8,63,4212,34,13,14,10,12,41,260,0,0,2009
Chiefs  Chiefs,40.8,3956,96,45.0,70,4361,41,4,22,6,24,40,285,0,1,2009
Jaguars  Jaguars,38.3,2758,72,41.9,64,3017,23,6,8,5,15,38,159,0,0,2009
Colts  Colts,37.8,2416,64,44.3,60,2837,21,0,7,6,15,36,301,0,0,2009
Texans  Texans,39.4,2642,67,42.8,62,2866,24,2,11,6,24,24,104,0,0,2009
Titans  Titans,38.7,2667,69,43.4,67,2995,22,6,11,6,17,29,208,0,0,2009
Packers  Packers,34.1,2288,66,43.1,58,2891,15,2,7,10,7,40,403,0,1,2009
Lions  Lions,36.8,2720,74,42.9,56,3174,20,7,7,5,14,41,354,0,0,2009
Broncos  Broncos,36.7,2864,78,43.4,65,3387,22,6,12,8,16,36,363,1,0,2009
Cowboys  Cowboys,39.9,2875,72,45.1,63,3249,38,3,5,3,23,38,314,1,0,2009
Browns  Browns,37.8,3555,94,42.3,60,3977,40,11,14,8,21,40,262,0,0,2009
Bengals  Bengals,36.3,3120,86,43.2,61,3713,24,14,8,10,15,39,393,0,0,2009
Bears  Bears,37.4,2879,77,41.4,66,3191,26,17,10,2,14,34,272,0,0,2009
Panthers  Panthers,36.6,2820,76,43.5,61,3352,22,4,9,4,18,41,452,1,1,2009
Bills  Bills,40.2,3615,90,46.6,73,4192,25,9,10,10,12,49,377,0,0,2009
