Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,FG Blk,XP Blk,Year
Falcons  Falcons,24.3,55,1336,0,39,2,62,0,2,2,0,2009
Redskins  Redskins,23.0,73,1680,1,48,5,96T,0,2,2,0,2010
Buccaneers  Buccaneers,24.3,57,1386,1,36,4,89T,0,1,0,0,2010
Seahawks  Seahawks,24.0,65,1558,3,35,7,101T,0,2,3,0,2010
49ers  49ers,19.5,61,1187,0,25,3,61,0,1,0,0,2010
Chargers  Chargers,24.0,56,1342,0,39,2,45,0,1,0,0,2010
Steelers  Steelers,23.5,49,1153,1,32,3,97T,0,2,0,0,2010
Cardinals  Cardinals,24.8,84,2084,2,53,7,102T,0,1,3,0,2010
Eagles  Eagles,20.5,62,1272,0,35,2,46,1,3,0,0,2010
Jets  Jets,25.2,63,1588,2,35,6,97T,0,0,0,0,2010
Giants  Giants,19.0,57,1082,0,27,1,42,0,0,1,1,2010
Saints  Saints,22.7,52,1181,0,39,0,39,0,1,0,1,2010
Patriots  Patriots,22.0,56,1231,2,28,3,103T,1,1,1,0,2010
Vikings  Vikings,22.3,64,1427,1,37,6,95T,1,2,0,0,2010
Dolphins  Dolphins,21.4,56,1199,0,30,2,46,1,1,1,0,2010
Raiders  Raiders,22.5,68,1532,3,33,4,101T,0,4,0,0,2010
Rams  Rams,21.8,74,1614,0,47,1,84,0,2,1,0,2010
Chiefs  Chiefs,19.7,58,1140,0,28,0,36,1,1,0,0,2010
Jaguars  Jaguars,23.8,80,1903,0,55,5,65,0,3,0,0,2010
Colts  Colts,19.6,67,1310,1,35,1,41T,0,1,0,0,2010
Texans  Texans,19.8,67,1326,0,39,1,50,0,0,1,0,2010
Titans  Titans,24.3,64,1556,1,42,4,98T,0,2,1,0,2010
Packers  Packers,20.1,62,1249,0,31,5,51,0,2,0,0,2010
Lions  Lions,24.9,61,1519,1,43,5,105T,0,1,0,0,2010
Broncos  Broncos,24.3,59,1435,1,35,4,97T,0,4,0,0,2010
