Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,FG Blk,XP Blk,Year
Eagles  Eagles,19.7,18,354,0,9,0,35,0,0,3,1,2017
Jets  Jets,20.1,34,683,0,18,1,40,0,0,0,0,2017
Giants  Giants,19.6,31,609,0,16,0,30,0,0,1,0,2017
Saints  Saints,22.9,36,825,1,18,2,106T,0,0,0,0,2017
Patriots  Patriots,22.2,28,622,1,13,2,103T,0,0,2,0,2017
Vikings  Vikings,24.8,25,619,0,20,0,39,0,1,0,0,2017
Dolphins  Dolphins,20.9,40,834,0,27,0,37,0,1,2,0,2017
Raiders  Raiders,21.7,34,738,0,16,4,49,0,3,1,1,2017
Rams  Rams,25.0,40,1001,1,29,3,103T,0,1,1,1,2017
Chiefs  Chiefs,22.4,47,1051,0,28,2,42,0,0,1,0,2017
Jaguars  Jaguars,22.0,25,551,0,14,1,68,0,2,0,2,2017
Colts  Colts,21.1,28,590,0,15,1,60,0,1,1,1,2017
Texans  Texans,20.7,27,558,0,15,1,42,0,1,0,0,2017
Titans  Titans,22.1,28,618,0,17,3,57,1,0,0,0,2017
Packers  Packers,21.7,35,761,0,20,0,34,0,0,0,1,2017
Lions  Lions,18.2,32,583,0,16,0,35,0,0,2,1,2017
Broncos  Broncos,22.6,34,768,0,21,2,61,0,1,2,0,2017
Cowboys  Cowboys,24.8,25,620,0,17,1,61,1,0,1,0,2017
Browns  Browns,22.6,35,790,0,18,2,71,0,0,0,2,2017
Bengals  Bengals,19.7,34,670,0,16,1,41,0,1,1,0,2017
Bears  Bears,21.1,46,969,0,27,1,46,0,1,1,0,2017
Panthers  Panthers,22.4,34,760,1,17,1,103T,0,0,1,0,2017
Bills  Bills,20.0,32,640,0,17,0,29,1,0,0,0,2017
Ravens  Ravens,27.5,34,936,1,25,3,96T,0,0,1,0,2017
Falcons  Falcons,22.3,39,871,0,24,2,61,0,2,0,0,2017
Redskins  Redskins,19.7,29,570,0,13,1,44,0,0,0,0,2018
