Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T,Year
Raiders  Raiders,33,80.5,43,100.0,3,0,2010
Rams  Rams,33,84.6,26,96.3,0,0,2010
Chiefs  Chiefs,20,76.9,42,100.0,0,1,2010
Jaguars  Jaguars,22,78.6,41,100.0,0,1,2010
Colts  Colts,26,92.9,51,100.0,1,0,2010
Texans  Texans,27,90.0,43,100.0,0,0,2010
Titans  Titans,24,92.3,38,100.0,1,1,2010
Packers  Packers,22,78.6,46,100.0,0,0,2010
Lions  Lions,25,83.3,35,97.2,1,0,2010
Broncos  Broncos,22,88.0,38,97.4,1,0,2010
Cowboys  Cowboys,24,75.0,42,95.5,0,3,2010
Browns  Browns,23,82.1,28,100.0,0,0,2010
Bengals  Bengals,24,77.4,30,93.8,0,0,2010
Bears  Bears,25,83.3,35,100.0,0,3,2010
Panthers  Panthers,25,86.2,17,100.0,0,0,2010
Bills  Bills,16,76.2,31,96.9,1,0,2010
Ravens  Ravens,26,89.7,39,100.0,1,0,2010
Falcons  Falcons,28,90.3,44,100.0,1,1,2010
Redskins  Redskins,31,75.6,25,96.2,0,0,2011
Buccaneers  Buccaneers,26,92.9,23,100.0,0,0,2011
Seahawks  Seahawks,25,83.3,34,100.0,0,0,2011
49ers  49ers,44,84.6,34,100.0,1,1,2011
Chargers  Chargers,28,80.0,44,97.8,1,0,2011
Steelers  Steelers,23,74.2,36,100.0,0,1,2011
Cardinals  Cardinals,19,79.2,33,100.0,0,4,2011
Eagles  Eagles,24,88.9,46,100.0,0,0,2011
Jets  Jets,19,76.0,44,100.0,1,0,2011
Giants  Giants,19,79.2,43,100.0,0,0,2011
Saints  Saints,28,82.4,63,100.0,0,1,2011
Patriots  Patriots,28,84.8,59,100.0,0,1,2011
Vikings  Vikings,22,78.6,38,97.4,1,0,2011
Dolphins  Dolphins,33,84.6,32,100.0,0,0,2011
Raiders  Raiders,31,88.6,36,100.0,1,0,2011
Rams  Rams,21,75.0,18,100.0,0,1,2011
Chiefs  Chiefs,24,80.0,20,100.0,0,0,2011
Jaguars  Jaguars,23,92.0,24,100.0,0,0,2011
Colts  Colts,23,85.2,24,100.0,0,0,2011
Texans  Texans,32,84.2,39,97.5,0,1,2011
Titans  Titans,29,90.6,34,100.0,1,1,2011
Packers  Packers,24,85.7,68,98.6,1,1,2011
Lions  Lions,24,82.8,54,100.0,0,0,2011
Broncos  Broncos,19,76.0,30,100.0,0,2,2011
Cowboys  Cowboys,32,86.5,39,100.0,0,0,2011
Browns  Browns,24,82.8,20,100.0,0,1,2011
Bengals  Bengals,33,86.8,33,97.1,0,1,2011
Bears  Bears,28,87.5,37,100.0,1,2,2011
Panthers  Panthers,22,78.6,44,97.8,1,0,2011
Bills  Bills,23,74.2,41,100.0,0,1,2011
Ravens  Ravens,30,76.9,40,100.0,0,1,2011
Falcons  Falcons,27,93.1,45,100.0,0,0,2011
Redskins  Redskins,24,80.0,50,98.0,0,0,2012
Buccaneers  Buccaneers,28,84.8,39,100.0,0,0,2012
Seahawks  Seahawks,24,88.9,46,95.8,1,0,2012
49ers  49ers,29,69.0,44,100.0,0,0,2012
Chargers  Chargers,25,92.6,39,100.0,1,1,2012
Steelers  Steelers,28,90.3,34,100.0,0,0,2012
Cardinals  Cardinals,25,89.3,25,100.0,0,0,2012
Eagles  Eagles,27,87.1,25,96.2,0,1,2012
Jets  Jets,21,77.8,30,100.0,1,1,2012
Giants  Giants,33,84.6,46,100.0,1,0,2012
Saints  Saints,18,81.8,57,100.0,0,0,2012
Patriots  Patriots,29,82.9,66,100.0,1,1,2012
Vikings  Vikings,35,92.1,36,100.0,1,1,2012
Dolphins  Dolphins,23,76.7,29,100.0,1,1,2012
Raiders  Raiders,31,91.2,25,100.0,0,0,2012
Rams  Rams,23,74.2,26,100.0,0,0,2012
Chiefs  Chiefs,28,82.4,17,100.0,0,0,2012
Jaguars  Jaguars,25,89.3,18,94.7,0,0,2012
Colts  Colts,26,78.8,37,100.0,1,1,2012
Texans  Texans,31,81.6,45,100.0,0,0,2012
Titans  Titans,25,80.6,35,100.0,1,3,2012
Packers  Packers,21,63.6,50,100.0,0,1,2012
Lions  Lions,32,88.9,38,100.0,0,0,2012
Broncos  Broncos,26,81.3,55,100.0,1,1,2012
Cowboys  Cowboys,29,93.5,37,100.0,0,1,2012
Browns  Browns,29,93.5,29,100.0,0,1,2012
Bengals  Bengals,30,85.7,43,100.0,0,1,2012
Bears  Bears,27,81.8,40,100.0,0,0,2012
Panthers  Panthers,16,76.2,43,97.7,0,0,2012
Bills  Bills,21,87.5,39,100.0,1,2,2012
Ravens  Ravens,30,90.9,42,100.0,2,1,2012
Falcons  Falcons,33,86.8,44,100.0,0,0,2012
Redskins  Redskins,21,80.8,33,100.0,0,0,2013
Buccaneers  Buccaneers,23,79.3,31,100.0,0,0,2013
Seahawks  Seahawks,33,94.3,44,100.0,0,0,2013
49ers  49ers,32,88.9,44,100.0,0,0,2013
Chargers  Chargers,34,91.9,42,100.0,0,0,2013
Steelers  Steelers,30,93.8,39,100.0,0,1,2013
Cardinals  Cardinals,30,83.3,37,100.0,0,0,2013
Eagles  Eagles,23,82.1,45,100.0,0,0,2013
Jets  Jets,33,91.7,27,100.0,0,0,2013
Giants  Giants,23,88.5,31,100.0,0,0,2013
Saints  Saints,24,75.0,48,100.0,0,0,2013
Patriots  Patriots,38,92.7,44,100.0,0,0,2013
Vikings  Vikings,26,86.7,43,97.7,2,1,2013
Dolphins  Dolphins,26,76.5,33,100.0,0,0,2013
Raiders  Raiders,21,70.0,37,100.0,0,0,2013
Rams  Rams,26,92.9,34,100.0,0,1,2013
Chiefs  Chiefs,22,78.6,52,100.0,2,2,2013
Jaguars  Jaguars,23,92.0,22,95.7,0,0,2013
Colts  Colts,35,87.5,34,100.0,0,0,2013
Texans  Texans,26,74.3,26,100.0,0,1,2013
Titans  Titans,25,86.2,41,100.0,0,0,2013
Packers  Packers,33,89.2,42,100.0,0,1,2013
Lions  Lions,19,79.2,42,97.7,1,1,2013
Broncos  Broncos,25,96.2,75,100.0,1,1,2013
Cowboys  Cowboys,28,93.3,47,100.0,0,1,2013
Browns  Browns,21,80.8,33,100.0,0,1,2013
Bengals  Bengals,18,81.8,52,98.1,0,0,2013
Bears  Bears,26,89.7,45,97.8,0,1,2013
Panthers  Panthers,24,88.9,42,100.0,0,0,2013
Bills  Bills,33,91.7,32,100.0,0,0,2013
Ravens  Ravens,38,92.7,26,100.0,1,1,2013
Falcons  Falcons,24,88.9,39,100.0,0,0,2013
Redskins  Redskins,24,88.9,31,96.9,0,0,2014
Buccaneers  Buccaneers,20,83.3,31,100.0,0,0,2014
Seahawks  Seahawks,31,83.8,41,100.0,0,0,2014
49ers  49ers,25,80.6,33,100.0,0,0,2014
Chargers  Chargers,22,84.6,40,100.0,0,0,2014
Steelers  Steelers,29,90.6,45,100.0,0,1,2014
Cardinals  Cardinals,29,87.9,27,100.0,0,1,2014
Eagles  Eagles,32,88.9,54,100.0,2,2,2014
Jets  Jets,32,82.1,23,100.0,0,0,2014
Giants  Giants,24,92.3,44,100.0,0,0,2014
Saints  Saints,19,86.4,46,97.9,0,0,2014
Patriots  Patriots,35,94.6,51,100.0,0,1,2014
Vikings  Vikings,26,74.3,29,100.0,0,0,2014
Dolphins  Dolphins,29,78.4,41,100.0,0,0,2014
Raiders  Raiders,19,86.4,28,100.0,0,0,2014
Rams  Rams,24,80.0,34,97.1,0,2,2014
Chiefs  Chiefs,25,83.3,38,100.0,1,1,2014
Jaguars  Jaguars,20,76.9,23,100.0,0,0,2014
Colts  Colts,30,96.8,50,100.0,0,0,2014
Texans  Texans,30,85.7,40,100.0,0,0,2014
Titans  Titans,19,86.4,27,100.0,0,0,2014
Packers  Packers,27,81.8,53,96.4,0,2,2014
Lions  Lions,25,65.8,32,100.0,0,0,2014
Broncos  Broncos,24,82.8,56,100.0,0,0,2014
Cowboys  Cowboys,25,86.2,56,100.0,0,0,2014
Browns  Browns,25,78.1,30,100.0,0,0,2014
Bengals  Bengals,26,78.8,39,100.0,0,0,2014
Bears  Bears,12,75.0,33,94.3,1,0,2014
Panthers  Panthers,29,82.9,34,100.0,0,1,2014
Bills  Bills,34,89.5,31,96.9,1,1,2014
Ravens  Ravens,29,85.3,42,100.0,1,0,2014
Falcons  Falcons,29,90.6,40,100.0,0,1,2014
Redskins  Redskins,26,86.7,40,97.6,2,0,2015
Buccaneers  Buccaneers,29,72.5,31,91.2,0,0,2015
Seahawks  Seahawks,29,93.5,40,90.9,1,1,2015
49ers  49ers,24,88.9,20,95.2,0,0,2015
Chargers  Chargers,26,81.3,28,87.5,0,0,2015
Steelers  Steelers,35,83.3,32,94.1,0,1,2015
Cardinals  Cardinals,28,90.3,53,91.4,1,0,2015
Eagles  Eagles,21,80.8,42,95.5,0,2,2015
Jets  Jets,27,81.8,42,97.7,0,0,2015
Giants  Giants,30,93.8,44,97.8,1,1,2015
Saints  Saints,18,69.2,44,95.7,0,1,2015
Patriots  Patriots,33,91.7,52,100.0,0,0,2015
Vikings  Vikings,34,87.2,33,89.2,2,1,2015
Dolphins  Dolphins,13,81.3,33,91.7,0,1,2015
Raiders  Raiders,21,80.8,38,97.4,0,0,2015
Rams  Rams,21,67.7,27,93.1,0,1,2015
Chiefs  Chiefs,30,81.1,39,95.1,0,0,2015
