Team,FF,FR,FR TD,Rec FUM,Rush FUM,Year
Titans  Titans,17,8,0,3,11,2010
Packers  Packers,15,8,1,5,6,2010
Lions  Lions,21,15,1,8,8,2010
Broncos  Broncos,13,8,1,1,13,2010
Cowboys  Cowboys,14,10,1,3,9,2010
Browns  Browns,9,9,1,1,4,2010
Bengals  Bengals,12,10,1,5,8,2010
Bears  Bears,23,14,0,6,15,2010
Panthers  Panthers,14,12,0,5,9,2010
Bills  Bills,15,11,1,4,10,2010
Ravens  Ravens,15,8,0,7,10,2010
Falcons  Falcons,14,9,1,4,8,2010
Redskins  Redskins,17,8,0,5,5,2011
Buccaneers  Buccaneers,13,10,1,3,10,2011
Seahawks  Seahawks,13,9,0,5,4,2011
49ers  49ers,19,15,0,5,10,2011
Chargers  Chargers,7,4,1,3,3,2011
Steelers  Steelers,10,4,1,1,2,2011
Cardinals  Cardinals,12,9,0,3,3,2011
Eagles  Eagles,10,9,3,3,5,2011
Jets  Jets,19,12,0,2,10,2011
Giants  Giants,13,11,1,1,10,2011
Saints  Saints,17,7,2,5,7,2011
Patriots  Patriots,10,11,1,0,10,2011
Vikings  Vikings,19,15,0,5,5,2011
Dolphins  Dolphins,9,3,0,1,9,2011
Raiders  Raiders,7,8,1,3,3,2011
Rams  Rams,16,6,0,2,12,2011
Chiefs  Chiefs,13,6,0,1,8,2011
Jaguars  Jaguars,19,11,3,1,7,2011
Colts  Colts,14,9,1,4,5,2011
Texans  Texans,13,10,0,0,8,2011
Titans  Titans,15,12,0,5,9,2011
Packers  Packers,13,7,1,8,6,2011
Lions  Lions,17,13,2,4,5,2011
Broncos  Broncos,11,9,0,3,5,2011
Cowboys  Cowboys,13,9,0,4,6,2011
Browns  Browns,15,11,0,4,6,2011
Bengals  Bengals,18,12,2,8,8,2011
Bears  Bears,14,11,2,3,9,2011
Panthers  Panthers,12,10,0,4,10,2011
Bills  Bills,15,11,2,2,9,2011
Ravens  Ravens,21,11,3,6,10,2011
Falcons  Falcons,13,10,1,4,5,2011
Redskins  Redskins,12,9,1,3,7,2012
Buccaneers  Buccaneers,11,8,0,4,3,2012
Seahawks  Seahawks,18,13,1,5,8,2012
49ers  49ers,15,11,1,7,5,2012
Chargers  Chargers,18,14,2,6,9,2012
Steelers  Steelers,15,10,0,5,6,2012
Cardinals  Cardinals,13,11,1,4,5,2012
Eagles  Eagles,13,5,0,0,7,2012
Jets  Jets,14,12,1,3,7,2012
Giants  Giants,16,14,1,5,8,2012
Saints  Saints,11,11,0,2,6,2012
Patriots  Patriots,30,21,3,9,19,2012
Vikings  Vikings,16,12,0,3,8,2012
Dolphins  Dolphins,15,6,0,6,3,2012
Raiders  Raiders,9,8,0,6,3,2012
Rams  Rams,12,4,1,2,4,2012
Chiefs  Chiefs,14,6,1,6,7,2012
Jaguars  Jaguars,12,11,0,2,4,2012
Colts  Colts,6,3,0,3,4,2012
Texans  Texans,17,14,0,4,10,2012
Titans  Titans,13,5,1,4,6,2012
Packers  Packers,8,5,1,4,3,2012
Lions  Lions,11,6,0,3,4,2012
Broncos  Broncos,19,8,1,1,6,2012
Cowboys  Cowboys,14,9,2,3,4,2012
Browns  Browns,16,12,0,5,9,2012
Bengals  Bengals,16,16,1,4,8,2012
Bears  Bears,26,20,1,10,12,2012
Panthers  Panthers,16,12,0,1,7,2012
Bills  Bills,21,9,0,6,11,2012
Ravens  Ravens,10,12,0,3,11,2012
Falcons  Falcons,15,11,1,4,8,2012
Redskins  Redskins,12,9,1,5,8,2013
Buccaneers  Buccaneers,15,10,0,5,6,2013
Seahawks  Seahawks,17,11,1,4,7,2013
49ers  49ers,12,11,3,2,6,2013
Chargers  Chargers,11,6,0,4,4,2013
Steelers  Steelers,16,10,0,5,7,2013
Cardinals  Cardinals,11,10,1,2,6,2013
Eagles  Eagles,13,12,1,3,15,2013
Jets  Jets,10,2,0,2,5,2013
Giants  Giants,15,12,0,4,6,2013
Saints  Saints,13,7,0,4,3,2013
Patriots  Patriots,11,12,1,5,6,2013
Vikings  Vikings,12,8,1,4,7,2013
Dolphins  Dolphins,10,6,0,0,5,2013
Raiders  Raiders,19,13,2,7,6,2013
Rams  Rams,21,15,3,3,8,2013
Chiefs  Chiefs,13,15,2,4,4,2013
Jaguars  Jaguars,15,10,1,2,10,2013
Colts  Colts,19,12,0,0,8,2013
Texans  Texans,10,4,0,1,7,2013
Titans  Titans,14,12,2,5,9,2013
Packers  Packers,16,11,2,3,3,2013
Lions  Lions,11,7,1,1,10,2013
Broncos  Broncos,16,9,1,4,9,2013
Cowboys  Cowboys,13,13,3,4,4,2013
Browns  Browns,8,7,1,2,4,2013
Bengals  Bengals,13,11,1,5,4,2013
Bears  Bears,19,9,1,5,11,2013
Panthers  Panthers,11,10,0,3,5,2013
Bills  Bills,12,6,1,3,7,2013
Ravens  Ravens,14,7,0,6,6,2013
Falcons  Falcons,13,11,1,6,5,2013
Redskins  Redskins,14,12,0,3,12,2014
Buccaneers  Buccaneers,16,11,0,5,8,2014
Seahawks  Seahawks,18,10,0,7,10,2014
49ers  49ers,10,6,1,3,4,2014
Chargers  Chargers,16,11,3,3,10,2014
Steelers  Steelers,12,10,1,4,9,2014
Cardinals  Cardinals,9,7,1,4,4,2014
Eagles  Eagles,24,16,2,4,10,2014
Jets  Jets,9,7,0,3,5,2014
Giants  Giants,15,8,1,1,10,2014
Saints  Saints,11,5,0,5,5,2014
Patriots  Patriots,15,9,2,5,6,2014
Vikings  Vikings,9,6,1,5,3,2014
Dolphins  Dolphins,13,11,1,2,7,2014
Raiders  Raiders,12,5,1,2,7,2014
Rams  Rams,17,12,0,5,13,2014
Chiefs  Chiefs,13,7,0,2,4,2014
Jaguars  Jaguars,19,14,2,5,4,2014
Colts  Colts,21,14,1,7,9,2014
Texans  Texans,17,14,1,7,8,2014
Titans  Titans,5,4,1,2,2,2014
Packers  Packers,12,9,1,2,11,2014
Lions  Lions,11,7,1,4,6,2014
Broncos  Broncos,15,7,1,11,3,2014
Cowboys  Cowboys,15,13,1,9,2,2014
Browns  Browns,15,8,1,3,6,2014
Bengals  Bengals,7,6,0,0,7,2014
Bears  Bears,18,10,0,8,5,2014
Panthers  Panthers,22,12,0,8,6,2014
Bills  Bills,14,11,1,5,6,2014
Ravens  Ravens,16,11,0,6,8,2014
Falcons  Falcons,13,12,1,5,5,2014
Redskins  Redskins,22,15,1,10,13,2015
Buccaneers  Buccaneers,19,12,2,7,9,2015
Seahawks  Seahawks,18,8,3,3,9,2015
49ers  49ers,5,3,0,3,4,2015
Chargers  Chargers,11,9,0,1,7,2015
Steelers  Steelers,16,13,0,6,12,2015
Cardinals  Cardinals,22,14,2,4,12,2015
Eagles  Eagles,18,11,1,7,3,2015
Jets  Jets,15,12,0,0,8,2015
Giants  Giants,18,12,2,8,11,2015
Saints  Saints,18,13,1,2,15,2015
Patriots  Patriots,22,9,2,6,6,2015
Vikings  Vikings,11,9,1,2,6,2015
Dolphins  Dolphins,8,3,0,1,3,2015
Raiders  Raiders,14,11,0,8,2,2015
Rams  Rams,20,13,2,9,9,2015
Chiefs  Chiefs,13,7,2,0,7,2015
Jaguars  Jaguars,14,9,2,2,4,2015
Colts  Colts,13,8,1,3,10,2015
Texans  Texans,12,11,1,2,5,2015
Titans  Titans,11,8,1,0,3,2015
Packers  Packers,12,6,0,3,8,2015
Lions  Lions,17,9,1,5,7,2015
Broncos  Broncos,22,13,1,10,4,2015
Cowboys  Cowboys,6,3,0,3,2,2015
Browns  Browns,14,10,0,5,6,2015
Bengals  Bengals,10,7,0,3,4,2015
Bears  Bears,6,9,0,3,6,2015
Panthers  Panthers,22,15,0,7,9,2015
Bills  Bills,9,8,1,1,4,2015
Ravens  Ravens,8,8,1,3,7,2015
Falcons  Falcons,12,8,2,4,7,2015
Redskins  Redskins,17,7,0,2,10,2016
Buccaneers  Buccaneers,16,12,0,7,4,2016
Seahawks  Seahawks,16,8,1,2,8,2016
49ers  49ers,15,10,0,3,8,2016
Chargers  Chargers,14,10,2,3,6,2016
Steelers  Steelers,16,10,1,4,5,2016
Cardinals  Cardinals,21,14,1,2,11,2016
Eagles  Eagles,15,10,0,4,2,2016
Jets  Jets,14,4,0,2,12,2016
Giants  Giants,15,8,2,5,5,2016
Saints  Saints,11,12,0,7,5,2016
Patriots  Patriots,16,10,0,4,11,2016
Vikings  Vikings,13,13,2,2,12,2016
Dolphins  Dolphins,16,9,0,6,7,2016
Raiders  Raiders,20,14,0,5,11,2016
Rams  Rams,12,8,1,5,3,2016
Chiefs  Chiefs,16,15,1,6,8,2016
Jaguars  Jaguars,10,6,0,1,7,2016
Colts  Colts,15,9,1,6,4,2016
Texans  Texans,7,6,0,2,8,2016
Titans  Titans,4,6,1,1,5,2016
Packers  Packers,9,8,0,3,1,2016
Lions  Lions,8,4,0,1,5,2016
Broncos  Broncos,16,13,1,5,8,2016
Cowboys  Cowboys,18,11,0,6,8,2016
Browns  Browns,6,3,0,1,3,2016
Bengals  Bengals,6,3,0,3,4,2016
Bears  Bears,11,3,1,3,3,2016
Panthers  Panthers,18,10,2,4,5,2016
Bills  Bills,11,6,2,2,10,2016
Ravens  Ravens,14,10,1,1,10,2016
Falcons  Falcons,17,10,2,6,6,2016
Redskins  Redskins,12,7,0,2,8,2017
Buccaneers  Buccaneers,18,13,3,5,9,2017
Seahawks  Seahawks,13,9,1,1,8,2017
49ers  49ers,17,10,0,5,10,2017
Chargers  Chargers,13,9,1,3,5,2017
Steelers  Steelers,12,6,0,5,4,2017
Cardinals  Cardinals,17,6,1,3,7,2017
Eagles  Eagles,14,11,4,3,3,2017
Jets  Jets,9,9,0,5,9,2017
Giants  Giants,12,6,0,4,3,2017
Saints  Saints,17,5,1,4,5,2017
Patriots  Patriots,9,5,0,4,6,2017
Vikings  Vikings,8,5,0,1,4,2017
Dolphins  Dolphins,9,6,2,1,9,2017
Raiders  Raiders,12,9,0,2,6,2017
Rams  Rams,17,10,0,3,8,2017
Chiefs  Chiefs,12,10,3,6,4,2017
Jaguars  Jaguars,17,12,5,1,8,2017
Colts  Colts,11,7,0,4,10,2017
Texans  Texans,13,5,2,2,4,2017
Titans  Titans,11,9,1,5,9,2017
Packers  Packers,10,10,1,3,6,2017
Lions  Lions,16,13,2,5,8,2017
Broncos  Broncos,8,7,2,3,4,2017
Cowboys  Cowboys,20,10,0,3,6,2017
Browns  Browns,14,6,0,7,5,2017
Bengals  Bengals,4,2,0,1,4,2017
Bears  Bears,14,14,1,4,8,2017
Panthers  Panthers,15,11,1,4,1,2017
Bills  Bills,16,7,2,7,5,2017
Ravens  Ravens,16,12,2,4,5,2017
Falcons  Falcons,12,8,2,0,8,2017
Redskins  Redskins,19,11,1,9,3,2018
Buccaneers  Buccaneers,12,8,1,4,5,2018
Seahawks  Seahawks,18,14,1,5,7,2018
49ers  49ers,11,5,0,4,6,2018
Chargers  Chargers,7,7,1,3,6,2018
Steelers  Steelers,13,7,1,2,5,2018
Cardinals  Cardinals,13,9,2,5,3,2018
Eagles  Eagles,12,7,0,3,6,2018
Jets  Jets,13,7,0,3,4,2018
Giants  Giants,11,5,0,4,7,2018
Saints  Saints,19,12,0,9,4,2018
Patriots  Patriots,14,10,1,5,8,2018
Vikings  Vikings,8,8,2,1,12,2018
Dolphins  Dolphins,11,7,0,7,3,2018
Raiders  Raiders,5,3,0,1,6,2018
Rams  Rams,13,12,1,2,4,2018
Chiefs  Chiefs,23,12,1,3,6,2018
Jaguars  Jaguars,7,6,0,0,5,2018
Colts  Colts,15,11,0,7,5,2018
Texans  Texans,20,14,1,6,6,2018
Titans  Titans,12,6,0,4,2,2018
Packers  Packers,10,8,0,3,6,2018
Lions  Lions,10,7,0,2,5,2018
Broncos  Broncos,13,10,0,3,6,2018
Cowboys  Cowboys,14,11,1,5,7,2018
Browns  Browns,18,14,0,8,6,2018
Bengals  Bengals,10,6,2,3,3,2018
Bears  Bears,18,9,1,4,5,2018
Panthers  Panthers,13,9,1,2,9,2018
Bills  Bills,21,11,0,4,10,2018
Ravens  Ravens,9,5,3,4,2,2018
Falcons  Falcons,8,4,1,1,10,2018
Redskins  Redskins,16,9,0,3,8,2019
Buccaneers  Buccaneers,21,16,4,5,6,2019
Seahawks  Seahawks,19,16,1,7,5,2019
49ers  49ers,23,15,2,7,9,2019
Chargers  Chargers,6,3,0,1,7,2019
Steelers  Steelers,22,18,2,3,14,2019
Cardinals  Cardinals,19,10,0,5,3,2019
Eagles  Eagles,15,9,2,3,8,2019
Jets  Jets,10,9,2,2,8,2019
Giants  Giants,9,6,1,3,8,2019
Saints  Saints,11,10,1,2,7,2019
Patriots  Patriots,15,11,2,6,5,2019
Vikings  Vikings,19,14,1,9,3,2019
Dolphins  Dolphins,9,3,0,2,8,2019
Raiders  Raiders,9,6,0,2,3,2019
Rams  Rams,15,11,2,5,8,2019
Chiefs  Chiefs,13,7,2,2,6,2019
Jaguars  Jaguars,13,9,1,2,6,2019
Colts  Colts,14,8,0,4,4,2019
Texans  Texans,14,10,0,1,4,2019
Titans  Titans,11,9,2,3,5,2019
Packers  Packers,12,7,0,4,10,2019
Lions  Lions,16,11,1,5,7,2019
Broncos  Broncos,9,6,1,5,1,2019
Cowboys  Cowboys,14,10,1,3,7,2019
Browns  Browns,12,6,0,3,10,2019
Bengals  Bengals,9,5,0,4,5,2019
Bears  Bears,12,9,0,4,5,2019
Panthers  Panthers,8,7,1,0,5,2019
Bills  Bills,16,9,0,9,6,2019
Ravens  Ravens,15,12,4,6,5,2019
