Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef,Year
Colts  Colts,324,3959,12.2,21,51,8,81T,191,59.0,0,72,2013
Texans  Texans,287,3310,11.5,29,37,10,64T,158,55.1,1,67,2013
Titans  Titans,344,3839,11.2,15,49,3,55,191,55.5,5,83,2013
Packers  Packers,332,4194,12.6,30,61,8,67,190,57.2,3,66,2013
Lions  Lions,338,4199,12.4,24,52,14,85T,197,58.3,1,84,2013
Broncos  Broncos,357,4360,12.2,29,61,8,82T,208,58.3,4,92,2013
Cowboys  Cowboys,403,4835,12.0,33,71,8,87,231,57.3,4,64,2013
Browns  Browns,363,3723,10.3,29,41,5,50,197,54.3,2,78,2013
Bengals  Bengals,362,3623,10.0,22,36,9,74T,178,49.2,5,90,2013
Bears  Bears,315,3919,12.4,25,59,7,48T,184,58.4,5,62,2013
Panthers  Panthers,375,3853,10.3,17,48,8,73,178,47.5,3,64,2013
Bills  Bills,310,3666,11.8,28,47,14,74,170,54.8,3,90,2013
Ravens  Ravens,314,3938,12.5,25,50,17,79T,176,56.1,6,95,2013
Falcons  Falcons,341,4128,12.1,31,52,17,67,196,57.5,6,57,2013
Redskins  Redskins,345,4231,12.3,35,56,12,79T,195,56.5,3,46,2014
Buccaneers  Buccaneers,387,4294,11.1,28,48,5,56T,223,57.6,5,61,2014
Seahawks  Seahawks,313,3204,10.2,17,32,6,60T,175,55.9,7,64,2014
49ers  49ers,324,3731,11.5,29,49,8,63,188,58.0,3,82,2014
Chargers  Chargers,320,3605,11.3,24,47,5,77T,168,52.5,3,56,2014
Steelers  Steelers,350,4243,12.1,30,50,15,81T,193,55.1,4,53,2014
Cardinals  Cardinals,365,4396,12.0,22,62,14,86T,195,53.4,4,60,2014
Eagles  Eagles,345,4595,13.3,30,72,18,81T,211,61.2,4,82,2014
Jets  Jets,345,4056,11.8,31,45,14,87T,194,56.2,3,53,2014
Giants  Giants,324,4163,12.8,25,62,13,74T,187,57.7,1,71,2014
Saints  Saints,341,4207,12.3,26,54,10,73T,205,60.1,5,57,2014
Patriots  Patriots,342,4119,12.0,24,62,8,50,196,57.3,5,65,2014
Vikings  Vikings,353,3789,10.7,26,44,10,66T,189,53.5,5,62,2014
Dolphins  Dolphins,338,3768,11.1,27,47,7,74T,194,57.4,2,53,2014
Raiders  Raiders,343,3967,11.6,29,59,6,70T,190,55.4,2,57,2014
Rams  Rams,368,4126,11.2,18,44,8,80T,189,51.4,5,63,2014
Chiefs  Chiefs,318,3505,11.0,22,41,7,48,184,57.9,2,72,2014
Jaguars  Jaguars,355,4174,11.8,24,60,7,73T,200,56.3,5,46,2014
Colts  Colts,320,3932,12.3,27,54,11,63T,175,54.7,7,74,2014
Texans  Texans,363,4141,11.4,28,50,12,80T,206,56.7,7,91,2014
Titans  Titans,347,3995,11.5,28,47,9,80,211,60.8,2,69,2014
Packers  Packers,333,3884,11.7,26,50,8,79,196,58.9,2,84,2014
Lions  Lions,383,4001,10.4,23,47,6,50,209,54.6,4,72,2014
Broncos  Broncos,399,3859,9.7,29,41,4,81T,219,54.9,11,87,2014
Cowboys  Cowboys,371,4187,11.3,22,45,14,72,195,52.6,9,67,2014
Browns  Browns,335,3783,11.3,22,55,7,75T,184,54.9,3,94,2014
Bengals  Bengals,365,4013,11.0,18,48,6,94T,197,54.0,0,94,2014
Bears  Bears,366,4458,12.2,34,65,13,73T,227,62.0,8,53,2014
Panthers  Panthers,364,3913,10.8,25,46,5,81T,193,53.0,8,70,2014
Bills  Bills,337,3600,10.7,16,36,8,56T,171,50.7,5,73,2014
Ravens  Ravens,382,4341,11.4,22,54,10,77T,205,53.7,6,73,2014
Falcons  Falcons,359,4618,12.9,20,56,14,76T,224,62.4,5,65,2014
Redskins  Redskins,354,4392,12.4,30,58,12,62T,202,57.1,10,60,2015
Buccaneers  Buccaneers,378,4072,10.8,31,45,5,60T,208,55.0,7,66,2015
Seahawks  Seahawks,333,3619,10.9,14,49,5,69T,175,52.6,3,75,2015
49ers  49ers,375,4375,11.7,21,58,13,66T,199,53.1,3,58,2015
Chargers  Chargers,328,4008,12.2,22,54,12,72T,170,51.8,1,61,2015
Steelers  Steelers,402,4661,11.6,29,52,12,80T,231,57.5,6,78,2015
Cardinals  Cardinals,343,3957,11.5,24,56,14,88T,177,51.6,4,69,2015
Eagles  Eagles,394,4516,11.5,36,55,9,59,239,60.7,7,79,2015
Jets  Jets,343,4041,11.8,25,59,11,72T,185,53.9,0,74,2015
Giants  Giants,423,4920,11.6,31,62,11,76T,236,55.8,8,82,2015
Saints  Saints,372,4755,12.8,45,64,17,90T,223,59.9,2,68,2015
Patriots  Patriots,361,4209,11.7,24,57,9,87T,204,56.5,6,84,2015
Vikings  Vikings,359,4042,11.3,24,47,10,72T,189,52.6,2,64,2015
Dolphins  Dolphins,350,4225,12.1,31,53,13,84T,203,58.0,1,69,2015
Raiders  Raiders,404,4351,10.8,25,56,7,59,206,51.0,8,89,2015
Rams  Rams,399,4301,10.8,21,51,8,87T,192,48.1,9,69,2015
Chiefs  Chiefs,349,3988,11.4,25,46,9,55T,193,55.3,0,90,2015
Jaguars  Jaguars,390,4528,11.6,29,54,10,71T,222,56.9,2,71,2015
Colts  Colts,354,4365,12.3,29,64,12,80T,210,59.3,3,74,2015
Texans  Texans,326,3677,11.3,24,48,12,55,173,53.1,2,90,2015
Titans  Titans,319,3949,12.4,34,47,12,69T,192,60.2,0,56,2015
Packers  Packers,321,3898,12.1,20,46,14,68,183,57.0,3,70,2015
Lions  Lions,360,4065,11.3,27,59,11,61T,191,53.1,5,57,2015
Broncos  Broncos,344,3544,10.3,19,41,5,80T,162,47.1,10,82,2015
Cowboys  Cowboys,330,3861,11.7,19,54,10,80T,172,52.1,3,53,2015
Browns  Browns,322,4169,12.9,34,52,16,75T,186,57.8,5,53,2015
Bengals  Bengals,415,4264,10.3,18,39,6,64T,202,48.7,3,83,2015
Bears  Bears,322,3830,11.9,31,52,10,71T,182,56.5,3,53,2015
Panthers  Panthers,390,4054,10.4,21,53,10,70T,198,50.8,7,82,2015
Bills  Bills,347,4097,11.8,30,59,11,77T,197,56.8,1,88,2015
Ravens  Ravens,350,3957,11.3,30,51,10,80T,189,54.0,3,65,2015
Falcons  Falcons,370,3999,10.8,19,50,5,74T,197,53.2,4,61,2015
Redskins  Redskins,387,4383,11.3,22,53,8,54,225,58.1,2,74,2016
Buccaneers  Buccaneers,347,4246,12.2,24,58,16,68,203,58.5,7,81,2016
Seahawks  Seahawks,331,3884,11.7,16,51,9,80T,180,54.4,2,69,2016
49ers  49ers,322,4013,12.5,30,59,12,78T,187,58.1,3,70,2016
Chargers  Chargers,364,4217,11.6,21,53,8,64T,204,56.0,3,83,2016
Steelers  Steelers,381,4141,10.9,20,40,10,95T,184,48.3,4,79,2016
Cardinals  Cardinals,344,3739,10.9,21,47,8,71,175,50.9,2,66,2016
Eagles  Eagles,333,4039,12.1,25,57,13,80T,177,53.2,4,73,2016
Jets  Jets,347,4077,11.7,30,52,13,84T,203,58.5,2,51,2016
Giants  Giants,369,4260,11.5,15,59,12,71,191,51.8,5,97,2016
Saints  Saints,378,4593,12.2,27,48,9,66T,230,60.8,7,67,2016
Patriots  Patriots,368,4033,11.0,21,53,5,66,190,51.6,4,71,2016
Vikings  Vikings,332,3637,11.0,22,41,5,67,186,56.0,2,58,2016
Dolphins  Dolphins,368,4101,11.1,30,48,9,77T,199,54.1,6,73,2016
Raiders  Raiders,328,4267,13.0,27,61,16,98T,188,57.3,5,70,2016
Rams  Rams,378,3928,10.4,32,41,6,64T,194,51.3,5,72,2016
Chiefs  Chiefs,350,4120,11.8,23,47,7,76T,209,59.7,6,100,2016
Jaguars  Jaguars,345,3627,10.5,20,40,12,64T,174,50.4,1,53,2016
Colts  Colts,378,4411,11.7,27,55,8,49,225,59.5,6,60,2016
Texans  Texans,319,3424,10.7,20,38,6,86T,157,49.2,2,68,2016
Titans  Titans,388,4585,11.8,25,56,12,58,227,58.5,1,75,2016
Packers  Packers,370,4603,12.4,32,58,11,73T,227,61.4,3,85,2016
Lions  Lions,399,4136,10.4,33,50,6,64,206,51.6,1,62,2016
Broncos  Broncos,306,3200,10.5,13,32,4,80T,169,55.2,5,79,2016
Cowboys  Cowboys,425,4376,10.3,25,45,7,67T,226,53.2,6,64,2016
Browns  Browns,347,4173,12.0,36,52,12,63,220,63.4,1,67,2016
Bengals  Bengals,374,3985,10.7,22,46,7,74T,196,52.4,3,80,2016
Bears  Bears,342,3828,11.2,22,50,8,60,188,55.0,3,68,2016
Panthers  Panthers,409,4561,11.2,27,54,11,87T,223,54.5,4,68,2016
Bills  Bills,306,3835,12.5,19,46,11,66T,183,59.8,2,73,2016
Ravens  Ravens,369,3947,10.7,28,50,8,79T,190,51.5,1,66,2016
Falcons  Falcons,422,4495,10.7,31,53,5,58,232,55.0,6,87,2016
Redskins  Redskins,306,3692,12.1,23,54,10,75T,171,55.9,2,87,2017
Buccaneers  Buccaneers,371,4306,11.6,22,57,12,61T,202,54.4,5,55,2017
Seahawks  Seahawks,325,3616,11.1,19,44,5,75T,181,55.7,1,77,2017
49ers  49ers,344,3943,11.5,27,50,10,72T,198,57.6,5,56,2017
Chargers  Chargers,329,3417,10.4,17,37,4,87T,153,46.5,3,75,2017
Steelers  Steelers,297,3610,12.2,20,48,13,75T,157,52.9,5,76,2017
Cardinals  Cardinals,343,3796,11.1,24,44,8,72T,187,54.5,3,72,2017
Eagles  Eagles,363,3883,10.7,24,40,10,77T,177,48.8,3,87,2017
Jets  Jets,329,3904,11.9,30,61,8,79T,191,58.1,5,61,2017
Giants  Giants,347,4199,12.1,32,54,13,83T,189,54.5,4,70,2017
Saints  Saints,329,3884,11.8,22,57,8,53T,172,52.3,4,99,2017
Patriots  Patriots,367,4319,11.8,24,49,10,78T,204,55.6,4,65,2017
Vikings  Vikings,324,3329,10.3,13,35,5,52,168,51.9,1,69,2017
Dolphins  Dolphins,339,3788,11.2,26,57,4,69T,190,56.0,1,53,2017
Raiders  Raiders,361,4046,11.2,24,50,13,74,187,51.8,2,55,2017
Rams  Rams,324,3799,11.7,21,54,6,65T,181,55.9,3,94,2017
Chiefs  Chiefs,325,4131,12.7,23,53,14,69,204,62.8,6,85,2017
Jaguars  Jaguars,289,3074,10.6,17,40,12,74T,143,49.5,1,77,2017
Colts  Colts,320,4123,12.9,23,64,11,67,192,60.0,4,68,2017
Texans  Texans,321,3999,12.5,30,53,17,94T,176,54.8,2,57,2017
Titans  Titans,369,4100,11.1,27,37,7,80T,231,62.6,5,71,2017
Packers  Packers,348,4041,11.6,30,55,8,71T,211,60.6,3,62,2017
Lions  Lions,366,4120,11.3,21,45,8,97T,205,56.0,5,77,2017
Broncos  Broncos,294,3385,11.5,29,47,6,64T,166,56.5,3,62,2017
Cowboys  Cowboys,371,3746,10.1,28,43,6,56T,181,48.8,3,60,2017
Browns  Browns,360,3881,10.8,28,48,7,61T,189,52.5,7,70,2017
Bengals  Bengals,336,3657,10.9,20,45,8,72,173,51.5,1,72,2017
Bears  Bears,343,3653,10.7,18,36,8,88T,180,52.5,4,65,2017
Panthers  Panthers,351,3969,11.3,25,49,8,70,187,53.3,4,54,2017
Bills  Bills,370,3844,10.4,14,42,3,77T,199,53.8,7,81,2017
Ravens  Ravens,333,3701,11.1,18,48,7,57,179,53.8,4,80,2017
Falcons  Falcons,362,3725,10.3,22,43,4,54T,197,54.4,0,65,2017
Redskins  Redskins,362,4091,11.3,27,52,9,90T,197,54.4,9,56,2018
Buccaneers  Buccaneers,387,4383,11.3,34,56,6,75T,209,54.0,4,54,2018
Seahawks  Seahawks,355,4103,11.6,26,58,8,75T,201,56.6,5,60,2018
49ers  49ers,344,3959,11.5,35,49,9,75T,195,56.7,4,37,2018
Chargers  Chargers,351,3886,11.1,23,52,9,82T,178,50.7,3,72,2018
Steelers  Steelers,362,4044,11.2,27,53,7,71,200,55.2,2,67,2018
Cardinals  Cardinals,342,3595,10.5,21,37,5,64T,186,54.4,5,51,2018
Eagles  Eagles,417,4619,11.1,22,60,6,75T,215,51.6,3,65,2018
Jets  Jets,367,4358,11.9,29,58,11,70T,201,54.8,3,72,2018
Giants  Giants,362,4229,11.7,24,61,8,79T,205,56.6,4,73,2018
Saints  Saints,384,4623,12.0,30,57,14,75T,224,58.3,9,67,2018
Patriots  Patriots,370,4181,11.3,29,57,9,75T,208,56.2,5,64,2018
Vikings  Vikings,315,3501,11.1,15,43,10,70T,160,50.8,1,62,2018
Dolphins  Dolphins,335,4141,12.4,31,59,11,73T,195,58.2,7,58,2018
Raiders  Raiders,299,3933,13.2,36,59,15,89T,178,59.5,1,67,2018
Rams  Rams,347,4106,11.8,31,59,14,73T,185,53.3,2,65,2018
Chiefs  Chiefs,406,4721,11.6,30,65,8,49,247,60.8,3,64,2018
Jaguars  Jaguars,312,3354,10.8,17,37,6,78T,162,51.9,0,49,2018
Colts  Colts,384,4033,10.5,21,41,4,80T,203,52.9,7,60,2018
Texans  Texans,385,4477,11.6,28,55,13,83T,200,51.9,6,85,2018
Titans  Titans,337,3719,11.0,21,48,7,75T,182,54.0,4,63,2018
Packers  Packers,336,4074,12.1,30,54,7,75T,199,59.2,3,59,2018
