Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef,Year
Lions  Lions,323,3897,12.1,29,50,10,82,191,59.1,2,47,2018
Broncos  Broncos,353,4240,12.0,26,56,9,97T,197,55.8,3,79,2018
Cowboys  Cowboys,367,3984,10.9,22,43,7,53T,193,52.6,5,64,2018
Browns  Browns,393,4370,11.1,21,51,8,67,216,55.0,8,75,2018
Bengals  Bengals,389,4587,11.8,32,60,13,72T,221,56.8,3,72,2018
Bears  Bears,377,3854,10.2,22,39,9,75T,186,49.3,4,92,2018
Panthers  Panthers,353,4062,11.5,32,51,12,75T,185,52.4,2,69,2018
Bills  Bills,313,3084,9.9,22,36,2,43,157,50.2,4,70,2018
Ravens  Ravens,337,3651,10.8,21,44,7,64,174,51.6,4,87,2018
Falcons  Falcons,398,4408,11.1,33,46,7,58,226,56.8,1,66,2018
Redskins  Redskins,371,4093,11.0,35,56,9,53T,200,53.9,3,52,2019
Buccaneers  Buccaneers,408,4647,11.4,30,57,14,75T,222,54.4,5,93,2019
Seahawks  Seahawks,383,4407,11.5,19,53,6,58T,224,58.5,7,72,2019
49ers  49ers,318,3074,9.7,23,34,5,88T,150,47.2,7,75,2019
Chargers  Chargers,328,3394,10.3,21,41,6,70T,156,47.6,1,43,2019
Steelers  Steelers,314,3455,11.0,23,43,6,58T,164,52.2,3,79,2019
Cardinals  Cardinals,421,4785,11.4,38,72,7,57,243,57.7,5,55,2019
Eagles  Eagles,348,4136,11.9,27,49,15,75T,185,53.2,3,79,2019
Jets  Jets,363,4001,11.0,25,51,7,89T,187,51.5,2,64,2019
Giants  Giants,369,4471,12.1,30,67,15,62,211,57.2,3,64,2019
Saints  Saints,371,4201,11.3,27,54,13,75T,197,53.1,2,75,2019
Patriots  Patriots,303,3214,10.6,13,42,5,64T,150,49.5,6,86,2019
Vikings  Vikings,394,4099,10.4,23,47,7,60T,215,54.6,9,81,2019
Dolphins  Dolphins,344,4353,12.7,39,68,6,83T,214,62.2,2,65,2019
Raiders  Raiders,337,4355,12.9,33,68,16,91T,201,59.6,2,65,2019
Rams  Rams,348,3928,11.3,23,40,6,67T,194,55.7,5,72,2019
Chiefs  Chiefs,352,3881,11.0,21,46,7,69,190,54.0,2,64,2019
Jaguars  Jaguars,327,4088,12.5,22,60,12,84T,193,59.0,2,60,2019
Colts  Colts,394,4231,10.7,29,50,9,61T,207,52.5,4,49,2019
Texans  Texans,375,4491,12.0,33,58,12,65T,220,58.7,1,74,2019
Titans  Titans,386,4356,11.3,25,55,8,63T,213,55.2,3,70,2019
Packers  Packers,326,4016,12.3,19,56,15,66,191,58.6,4,70,2019
Lions  Lions,381,4739,12.4,33,72,10,66,232,60.9,5,73,2019
Broncos  Broncos,348,3822,11.0,19,46,11,75,175,50.3,5,68,2019
Cowboys  Cowboys,370,3879,10.5,21,55,5,92T,188,50.8,3,69,2019
Browns  Browns,318,3740,11.8,25,48,8,75T,184,57.9,3,62,2019
Bengals  Bengals,308,4121,13.4,25,70,12,79T,183,59.4,4,56,2019
Bears  Bears,362,3796,10.5,17,40,7,75T,190,52.5,4,67,2019
Panthers  Panthers,347,3997,11.5,21,53,7,93T,197,56.8,0,65,2019
Bills  Bills,348,3421,9.8,15,34,4,61T,169,48.6,9,80,2019
Ravens  Ravens,318,3583,11.3,15,47,9,83T,163,51.3,6,69,2019
Falcons  Falcons,351,4137,11.8,28,56,9,71T,192,54.7,3,55,2019
Football Team  Football Team,330,3393,10.3,21,36,11,56T,161,48.8,1,63,2020
Buccaneers  Buccaneers,426,4311,10.1,29,46,7,75T,215,50.5,4,68,2020
Seahawks  Seahawks,450,4811,10.7,23,55,9,52,253,56.2,2,77,2020
49ers  49ers,341,3526,10.3,25,44,9,70,176,51.6,7,59,2020
Chargers  Chargers,340,3715,10.9,29,44,10,54T,186,54.7,2,54,2020
Steelers  Steelers,298,3494,11.7,22,45,7,73T,163,54.7,4,81,2020
Cardinals  Cardinals,365,3949,10.8,26,48,5,76T,207,56.7,1,55,2020
Eagles  Eagles,364,4122,11.3,27,50,12,69,209,57.4,3,41,2020
Jets  Jets,418,4595,11.0,34,50,9,54,235,56.2,4,65,2020
Giants  Giants,388,4130,10.6,22,43,6,68T,215,55.4,8,73,2020
Saints  Saints,333,3759,11.3,28,49,9,74T,185,55.6,0,83,2020
Patriots  Patriots,333,3722,11.2,22,48,8,54T,187,56.2,2,51,2020
