Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,Year
Browns  Browns,221,86,20,10,189,60.4,120,23.7,1072,2009
Bengals  Bengals,210,81,15,7,165,51.9,95,23.8,980,2009
Bears  Bears,226,93,13,6,186,54.5,105,22.5,1033,2009
Panthers  Panthers,197,70,17,9,155,50.8,109,24.2,976,2009
Bills  Bills,240,97,26,14,157,53.2,134,25.0,1086,2009
Ravens  Ravens,218,80,17,7,164,53.6,82,18.9,991,2009
Falcons  Falcons,214,97,17,8,197,58.8,89,20.6,997,2009
Redskins  Redskins,214,75,10,7,207,56.4,106,23.9,1051,2010
Buccaneers  Buccaneers,213,92,17,9,171,55.7,118,26.6,991,2010
Seahawks  Seahawks,238,94,19,8,206,60.8,91,20.1,1074,2010
49ers  49ers,217,84,13,3,188,52.5,86,19.2,1033,2010
Chargers  Chargers,208,70,28,12,153,53.7,77,19.1,939,2010
Steelers  Steelers,209,70,16,10,182,50.1,61,18.3,974,2010
Cardinals  Cardinals,233,87,17,9,178,54.9,123,23.4,1092,2010
Eagles  Eagles,209,80,12,5,185,59.9,91,21.5,998,2010
Jets  Jets,219,81,6,4,169,62.8,70,17.2,979,2010
Giants  Giants,208,66,17,9,159,51.6,88,22.6,974,2010
Saints  Saints,203,70,23,15,150,49.0,94,22.3,948,2010
Patriots  Patriots,210,99,20,12,226,58.2,99,24.2,1056,2010
Vikings  Vikings,213,87,10,5,178,53.5,87,20.9,977,2010
Dolphins  Dolphins,226,84,22,8,166,57.6,84,18.8,988,2010
Raiders  Raiders,218,76,11,3,150,60.2,98,20.7,991,2010
Rams  Rams,221,74,12,6,191,58.2,88,21.8,1017,2010
Chiefs  Chiefs,223,84,20,7,186,58.3,88,21.6,1028,2010
Jaguars  Jaguars,189,78,18,8,197,59.9,98,23.6,948,2010
Colts  Colts,200,78,18,8,190,53.4,111,24.9,1010,2010
Texans  Texans,195,77,13,11,211,59.6,113,26.1,1010,2010
Titans  Titans,242,104,22,9,214,52.2,107,22.6,1139,2010
Packers  Packers,213,77,20,6,163,55.1,82,20.8,969,2010
Lions  Lions,198,77,12,5,187,56.7,98,22.1,1005,2010
Broncos  Broncos,209,80,16,10,184,62.0,126,23.7,1056,2010
Cowboys  Cowboys,204,81,9,4,200,57.5,84,20.9,977,2010
Browns  Browns,224,96,15,11,195,63.1,102,20.2,1041,2010
Bengals  Bengals,198,75,7,2,170,52.1,97,23.3,957,2010
Bears  Bears,216,75,13,6,183,50.4,88,22.8,1002,2010
Panthers  Panthers,213,81,9,4,176,54.0,121,24.1,1060,2010
Bills  Bills,227,98,10,7,179,60.9,138,24.2,1071,2010
Ravens  Ravens,229,87,12,6,187,53.6,79,20.6,1007,2010
Falcons  Falcons,201,79,17,9,183,50.3,87,23.8,957,2010
Redskins  Redskins,206,77,10,4,180,58.4,95,21.7,988,2011
Buccaneers  Buccaneers,185,73,13,9,188,62.5,135,27.1,1002,2011
Seahawks  Seahawks,221,77,11,7,174,53.7,96,20.3,1049,2011
49ers  49ers,216,76,17,7,190,57.1,53,15.0,974,2011
Chargers  Chargers,195,96,9,1,186,62.2,102,22.8,958,2011
