Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,Year
Broncos  Broncos,211,82,11,6,197,55.8,85,19.8,1022,2018
Cowboys  Cowboys,201,85,14,6,193,52.6,89,22.3,981,2018
Browns  Browns,210,75,20,13,216,55.0,130,28.3,1122,2018
Bengals  Bengals,223,109,17,11,221,56.8,125,26.8,1084,2018
Bears  Bears,219,75,28,16,186,49.3,67,19.8,1004,2018
Panthers  Panthers,183,73,17,10,185,52.4,110,28.6,948,2018
Bills  Bills,203,74,11,6,157,50.2,111,25.2,968,2018
Ravens  Ravens,211,72,20,10,174,51.6,82,23.2,974,2018
Falcons  Falcons,195,95,13,10,226,56.8,115,28.1,1031,2018
Redskins  Redskins,227,111,19,12,200,53.9,120,24.3,1079,2019
Buccaneers  Buccaneers,218,75,27,13,222,54.4,70,19.3,1073,2019
Seahawks  Seahawks,185,71,12,7,224,58.5,97,25.0,1014,2019
49ers  49ers,192,64,25,8,150,47.2,105,26.2,968,2019
Chargers  Chargers,195,88,13,8,156,47.6,101,23.5,923,2019
Steelers  Steelers,209,76,21,10,164,52.2,110,23.8,1030,2019
Cardinals  Cardinals,214,100,14,3,243,57.7,94,21.4,1080,2019
Eagles  Eagles,205,70,18,11,185,53.2,76,21.5,967,2019
Jets  Jets,225,88,12,3,187,51.5,75,18.0,1037,2019
Giants  Giants,216,86,14,8,211,57.2,100,21.3,1061,2019
Saints  Saints,210,73,25,11,197,53.1,71,20.6,999,2019
Patriots  Patriots,195,47,22,8,150,49.5,72,19.7,948,2019
Vikings  Vikings,214,85,29,16,215,54.6,78,19.3,1053,2019
Dolphins  Dolphins,194,81,13,8,214,62.2,113,23.3,1053,2019
Raiders  Raiders,190,81,13,9,201,59.6,91,22.5,963,2019
Rams  Rams,218,86,24,14,194,55.7,100,22.5,1056,2019
Chiefs  Chiefs,202,75,31,16,190,54.0,115,27.6,1043,2019
Jaguars  Jaguars,190,79,11,5,193,59.0,114,26.2,999,2019
Colts  Colts,199,85,19,8,207,52.5,93,24.3,986,2019
Texans  Texans,202,98,16,7,220,58.7,98,24.3,1020,2019
Titans  Titans,204,74,25,10,213,55.2,95,22.9,1056,2019
Packers  Packers,197,75,18,8,191,58.6,99,24.1,998,2019
Lions  Lions,214,94,15,7,232,60.9,94,20.7,1094,2019
Broncos  Broncos,211,79,19,9,175,50.3,96,22.5,1003,2019
Cowboys  Cowboys,201,67,22,10,188,50.8,101,24.8,1015,2019
Browns  Browns,195,74,17,6,184,57.9,124,26.8,1014,2019
Bengals  Bengals,209,89,10,5,183,59.4,124,24.6,1034,2019
Bears  Bears,209,76,23,13,190,52.5,86,20.8,1017,2019
Panthers  Panthers,193,77,9,6,197,56.8,128,28.8,1042,2019
Bills  Bills,212,76,21,8,169,48.6,93,24.0,985,2019
Ravens  Ravens,194,72,18,6,163,51.3,74,21.8,921,2019
Falcons  Falcons,193,77,20,12,192,54.7,108,25.7,985,2019
Football Team  Football Team,216,81,24,9,161,48.8,100,23.4,1004,2020
Buccaneers  Buccaneers,205,82,25,14,215,50.5,78,21.8,1023,2020
Seahawks  Seahawks,223,105,23,10,253,56.2,97,24.7,1112,2020
49ers  49ers,200,71,20,13,176,51.6,102,23.7,997,2020
Chargers  Chargers,204,89,15,10,186,54.7,112,26.2,997,2020
Steelers  Steelers,222,83,20,5,163,54.7,94,22.7,996,2020
Cardinals  Cardinals,202,80,21,14,207,56.7,118,27.1,1054,2020
Eagles  Eagles,211,80,18,7,209,57.4,98,20.4,1060,2020
Jets  Jets,202,90,12,5,235,56.2,100,22.5,1081,2020
Giants  Giants,204,91,18,11,215,55.4,115,26.6,1046,2020
Saints  Saints,207,79,30,16,185,55.6,85,21.8,992,2020
Patriots  Patriots,186,76,16,9,187,56.2,131,28.2,982,2020
Vikings  Vikings,185,73,24,17,208,58.1,136,28.8,1036,2020
Dolphins  Dolphins,186,58,26,12,193,56.3,113,27.4,998,2020
Raiders  Raiders,205,100,17,14,223,60.3,114,26.0,1039,2020
Rams  Rams,209,74,21,9,170,49.0,91,23.5,989,2020
Chiefs  Chiefs,188,77,20,13,202,57.9,113,26.1,1022,2020
Jaguars  Jaguars,198,86,18,12,210,56.8,140,27.1,1068,2020
Colts  Colts,203,86,14,6,203,55.0,94,24.1,992,2020
Texans  Texans,202,96,21,11,222,58.9,145,29.4,1068,2020
Titans  Titans,214,111,26,15,247,58.4,113,26.5,1076,2020
Packers  Packers,185,73,24,14,184,53.2,119,30.0,974,2020
Lions  Lions,193,91,18,11,253,66.1,127,26.1,1068,2020
Broncos  Broncos,219,88,14,7,201,53.7,106,24.4,1043,2020
Cowboys  Cowboys,209,98,21,10,180,54.9,142,27.8,1054,2020
Browns  Browns,205,90,27,22,214,57.7,116,28.2,1035,2020
Bengals  Bengals,210,91,16,10,192,56.5,126,27.2,1021,2020
Bears  Bears,210,80,22,13,190,54.3,104,23.7,1020,2020
Panthers  Panthers,199,98,10,6,211,53.0,114,27.9,1022,2020
Bills  Bills,191,76,19,11,199,53.9,125,30.2,1025,2020
Ravens  Ravens,191,65,35,16,213,56.1,96,25.1,1017,2020
Falcons  Falcons,195,80,23,10,239,56.2,97,25.5,1034,2020
