Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,Year
Redskins  Redskins,525,319,60.8,6.9,3622,18,11,84.2,192,36.6,43,6,54,29,159,2007
Buccaneers  Buccaneers,490,316,64.5,7.3,3579,18,8,91.7,162,33.1,41,11,69T,36,222,2007
Seahawks  Seahawks,590,371,62.9,7.1,4181,30,13,91.8,211,35.8,51,8,65,36,217,2007
49ers  49ers,513,274,53.4,5.2,2685,15,17,64.3,140,27.3,30,4,57T,55,365,2007
Chargers  Chargers,471,281,59.7,6.7,3175,22,16,81.3,158,33.5,44,4,49T,24,170,2007
Steelers  Steelers,442,282,63.8,7.7,3418,34,14,99.9,179,40.5,43,7,83,47,347,2007
Cardinals  Cardinals,590,356,60.3,7.2,4228,32,24,83.4,210,35.6,52,7,62,24,163,2007
Eagles  Eagles,577,350,60.7,6.9,4005,24,15,84.6,186,32.2,43,11,75T,49,250,2007
Jets  Jets,512,310,60.5,6.5,3330,15,19,73.9,173,33.8,38,7,57T,53,316,2007
Giants  Giants,544,302,55.5,6.2,3376,23,20,73.0,167,30.7,36,6,60T,28,222,2007
Saints  Saints,652,440,67.5,6.8,4423,28,18,89.4,232,35.6,47,8,58,16,109,2007
Patriots  Patriots,586,403,68.8,8.3,4859,50,9,116.0,243,41.5,57,15,69T,21,128,2007
Vikings  Vikings,432,249,57.6,6.8,2938,12,14,74.2,139,32.2,25,8,79,38,193,2007
Dolphins  Dolphins,558,318,57.0,5.9,3319,12,16,69.6,162,29.0,41,3,64T,42,288,2007
Raiders  Raiders,451,260,57.6,6.4,2893,17,20,70.9,133,29.5,31,6,59,41,262,2007
Rams  Rams,574,333,58.0,6.2,3561,19,28,67.0,193,33.6,42,1,40,48,328,2007
Chiefs  Chiefs,563,335,59.5,6.3,3525,17,20,73.0,171,30.4,40,2,58,55,344,2007
Jaguars  Jaguars,469,288,61.4,7.5,3495,28,8,97.1,180,38.4,44,8,80T,31,167,2007
Colts  Colts,551,355,64.4,7.6,4172,32,14,96.1,212,38.5,53,9,73T,23,139,2007
Texans  Texans,529,346,65.4,7.4,3925,24,21,86.1,190,35.9,40,10,77T,22,174,2007
Titans  Titans,464,288,62.1,6.6,3077,9,17,72.6,171,36.9,28,7,73,30,199,2007
Packers  Packers,578,383,66.3,7.7,4461,30,15,95.9,210,36.3,52,17,82T,19,127,2007
Lions  Lions,587,368,62.7,7.2,4216,19,22,79.4,203,34.6,47,8,91T,54,338,2007
Broncos  Broncos,515,326,63.3,7.3,3759,21,15,86.7,187,36.3,42,7,68T,32,175,2007
Cowboys  Cowboys,531,342,64.4,8.1,4290,36,19,97.1,217,40.9,56,11,59T,25,185,2007
Browns  Browns,545,305,56.0,7.1,3866,29,20,80.7,192,35.2,53,6,78T,19,140,2007
Bengals  Bengals,575,373,64.9,7.2,4131,26,20,86.7,213,37.0,51,8,70T,17,119,2007
Bears  Bears,569,327,57.5,6.5,3701,18,21,72.2,168,29.5,44,8,81T,43,339,2007
Panthers  Panthers,505,285,56.4,5.8,2941,19,17,71.9,142,28.1,28,9,74T,33,206,2007
Bills  Bills,445,263,59.1,6.4,2842,12,14,73.8,141,31.7,33,6,85T,26,208,2007
Ravens  Ravens,557,341,61.2,5.9,3308,13,14,75.2,175,31.4,23,5,79T,39,273,2007
Falcons  Falcons,555,336,60.5,6.4,3573,18,15,78.9,161,29.0,42,6,74T,47,277,2007
Redskins  Redskins,510,318,62.4,6.5,3291,14,6,85.2,165,32.4,34,3,67T,38,266,2008
Buccaneers  Buccaneers,562,355,63.2,6.7,3788,18,13,83.8,184,32.7,42,5,71T,32,169,2008
Seahawks  Seahawks,474,262,55.3,6.0,2831,18,15,72.5,142,30.0,29,5,90T,36,214,2008
49ers  49ers,509,309,60.7,7.3,3724,21,19,81.4,176,34.6,55,6,63,55,345,2008
Chargers  Chargers,478,312,65.3,8.4,4009,34,11,105.5,191,40.0,48,12,67,25,151,2008
Steelers  Steelers,506,303,59.9,7.1,3607,19,15,81.9,179,35.4,39,8,65T,49,306,2008
Cardinals  Cardinals,630,418,66.3,7.7,4875,31,15,96.1,231,36.7,54,13,79T,28,201,2008
Eagles  Eagles,606,362,59.7,6.7,4060,23,16,81.4,204,33.7,52,11,90T,23,149,2008
Jets  Jets,529,347,65.6,6.6,3516,22,23,80.2,186,35.2,40,7,56T,30,213,2008
Giants  Giants,491,298,60.7,6.8,3353,23,10,88.2,176,35.8,34,4,48,28,176,2008
Saints  Saints,636,413,64.9,8.0,5069,34,18,95.4,232,36.5,66,16,84T,13,92,2008
Patriots  Patriots,534,339,63.5,7.1,3790,21,11,89.1,186,34.8,38,6,76T,48,221,2008
Vikings  Vikings,452,267,59.1,7.1,3217,22,17,81.5,150,33.2,40,12,99T,43,261,2008
Dolphins  Dolphins,491,330,67.2,7.7,3761,20,7,97.6,184,37.5,39,8,80T,26,129,2008
Raiders  Raiders,421,222,52.7,6.3,2639,13,11,71.6,123,29.2,39,5,84T,39,270,2008
Rams  Rams,520,292,56.2,6.3,3268,11,19,66.9,140,26.9,41,8,80T,45,321,2008
Chiefs  Chiefs,541,310,57.3,6.2,3358,23,16,77.5,161,29.8,35,5,75,37,229,2008
Jaguars  Jaguars,537,335,62.4,6.7,3620,15,13,81.4,183,34.1,42,1,41,42,288,2008
Colts  Colts,585,393,67.2,7.1,4180,27,12,94.7,220,37.6,42,7,75,14,86,2008
Texans  Texans,555,367,66.1,8.1,4474,21,20,88.4,210,37.8,60,12,65,32,207,2008
Titans  Titans,453,265,58.5,6.4,2902,13,9,78.8,143,31.6,36,5,56T,12,83,2008
Packers  Packers,541,343,63.4,7.5,4044,28,13,93.3,182,33.6,48,16,71T,34,231,2008
Lions  Lions,509,281,55.2,6.5,3299,18,19,71.3,143,28.1,43,7,96T,52,339,2008
Broncos  Broncos,620,386,62.3,7.3,4545,25,18,85.9,223,36.0,55,7,93T,12,74,2008
Cowboys  Cowboys,547,328,60.0,7.3,3988,29,20,84.9,171,31.3,54,12,75T,31,199,2008
Browns  Browns,488,238,48.8,5.2,2537,11,20,54.8,127,26.0,26,6,70,24,157,2008
Bengals  Bengals,513,303,59.1,5.2,2677,11,15,68.0,145,28.3,21,2,79,51,271,2008
Bears  Bears,528,304,57.6,6.1,3229,20,14,77.1,153,29.0,35,3,65T,29,168,2008
Panthers  Panthers,414,246,59.4,7.9,3288,15,12,84.7,152,36.7,45,9,65T,20,130,2008
Bills  Bills,479,309,64.5,6.9,3302,14,15,81.3,167,34.9,38,6,87T,38,262,2008
Ravens  Ravens,433,261,60.3,7.1,3085,16,12,82.8,147,33.9,40,11,70T,33,277,2008
Falcons  Falcons,434,265,61.1,7.9,3440,16,11,87.7,157,36.2,45,9,70T,17,104,2008
Redskins  Redskins,533,340,63.8,7.1,3797,21,16,85.5,191,35.8,43,10,84,46,307,2009
Buccaneers  Buccaneers,524,279,53.2,6.0,3134,18,29,59.8,148,28.2,40,4,47,33,161,2009
Seahawks  Seahawks,609,372,61.1,6.2,3771,20,19,76.7,184,30.2,39,6,53,41,268,2009
49ers  49ers,528,312,59.1,6.2,3293,23,14,80.8,137,25.9,42,7,73T,40,241,2009
Chargers  Chargers,519,338,65.1,8.7,4506,29,10,103.1,222,42.8,67,13,81T,26,168,2009
Steelers  Steelers,536,351,65.5,8.4,4496,28,14,98.1,210,39.2,64,14,60T,50,348,2009
Cardinals  Cardinals,594,392,66.0,7.1,4200,27,18,89.1,215,36.2,49,3,45,26,184,2009
Eagles  Eagles,553,335,60.6,7.9,4380,27,13,92.0,182,32.9,65,21,71T,38,291,2009
Jets  Jets,393,210,53.4,6.6,2596,12,21,62.0,131,33.3,37,8,65T,30,216,2009
Giants  Giants,542,338,62.4,7.8,4246,28,14,93.2,194,35.8,62,12,74T,32,227,2009
Saints  Saints,544,378,69.5,8.3,4490,34,12,106.0,215,39.5,58,11,75T,20,135,2009
Patriots  Patriots,592,390,65.9,7.7,4540,28,13,95.6,222,37.5,43,12,81T,18,104,2009
Vikings  Vikings,553,377,68.2,8.0,4403,34,7,107.3,220,39.8,55,13,63,34,247,2009
Dolphins  Dolphins,545,331,60.7,6.2,3396,15,19,73.3,188,34.5,29,4,67,34,226,2009
Raiders  Raiders,485,255,52.6,5.9,2875,10,18,62.0,131,27.0,30,4,86T,49,318,2009
Rams  Rams,543,312,57.5,5.5,2970,12,21,64.0,159,29.3,32,2,50,44,284,2009
Chiefs  Chiefs,536,296,55.2,5.9,3183,18,17,70.8,139,25.9,41,9,61,45,261,2009
Jaguars  Jaguars,519,315,60.7,6.9,3599,15,10,83.2,170,32.8,44,6,63,44,243,2009
Colts  Colts,601,402,66.9,7.7,4605,34,19,95.4,241,40.1,62,8,80T,13,90,2009
Texans  Texans,593,399,67.3,8.1,4803,29,17,96.3,231,39.0,63,15,72T,25,149,2009
Titans  Titans,476,271,56.9,6.5,3104,16,15,74.8,154,32.4,32,8,69T,15,73,2009
Packers  Packers,553,357,64.6,8.1,4492,30,8,101.8,201,36.3,55,17,83T,51,312,2009
Lions  Lions,585,316,54.0,5.9,3471,16,32,58.1,168,28.7,39,6,75T,43,303,2009
Broncos  Broncos,558,341,61.1,6.9,3825,21,13,84.4,186,33.3,43,9,87T,34,198,2009
Cowboys  Cowboys,550,347,63.1,8.2,4483,26,9,97.6,203,36.9,61,17,80T,34,196,2009
Browns  Browns,443,219,49.4,5.1,2255,11,18,55.8,118,26.6,25,4,59T,30,179,2009
Bengals  Bengals,477,286,60.0,6.6,3134,21,13,82.7,159,33.3,36,5,73,29,244,2009
Bears  Bears,563,340,60.4,6.5,3677,27,27,75.6,170,30.2,56,6,71,35,204,2009
Panthers  Panthers,465,264,56.8,6.6,3070,16,20,70.5,152,32.7,39,10,66,33,271,2009
Bills  Bills,441,256,58.0,6.3,2789,17,19,71.7,126,28.6,31,6,98T,46,274,2009
Ravens  Ravens,510,321,62.9,7.1,3637,21,13,87.4,187,36.7,44,8,72T,36,218,2009
Falcons  Falcons,570,332,58.2,6.5,3697,26,17,80.4,192,33.7,39,5,90T,27,126,2009
Redskins  Redskins,605,349,57.7,7.0,4261,21,19,78.0,194,32.1,51,13,76,46,348,2010
Buccaneers  Buccaneers,494,306,61.9,7.2,3564,26,6,96.2,172,34.8,49,10,64,30,203,2010
Seahawks  Seahawks,544,324,59.6,6.5,3536,14,20,72.1,159,29.2,39,11,87T,35,195,2010
49ers  49ers,500,282,56.4,7.2,3613,19,15,79.4,149,29.8,53,10,66T,44,257,2010
Chargers  Chargers,544,359,66.0,8.7,4746,30,13,101.9,236,43.4,66,14,59T,38,227,2010
