Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Year
Jets  Jets,534,2374,4.4,14,11,2,53T,118,22.1,11,2010
Giants  Giants,480,2200,4.6,17,23,3,73,112,23.3,12,2010
Saints  Saints,380,1519,4.0,9,7,2,55T,94,24.7,7,2010
Patriots  Patriots,454,1973,4.3,19,9,0,36T,119,26.2,2,2010
Vikings  Vikings,441,1942,4.4,16,11,2,80T,104,23.6,7,2010
Dolphins  Dolphins,445,1643,3.7,8,5,2,51,91,20.4,12,2010
Raiders  Raiders,504,2494,4.9,19,27,6,71T,113,22.4,9,2010
Rams  Rams,429,1578,3.7,9,9,1,42T,84,19.6,2,2010
Chiefs  Chiefs,556,2627,4.7,13,15,4,80,129,23.2,7,2010
Jaguars  Jaguars,512,2395,4.7,14,14,1,74T,148,28.9,8,2010
Colts  Colts,393,1483,3.8,13,7,3,49,87,22.1,5,2010
Texans  Texans,423,2042,4.8,20,16,3,74T,118,27.9,5,2010
Titans  Titans,406,1727,4.3,13,15,5,76T,73,18.0,7,2010
Packers  Packers,421,1606,3.8,11,3,1,71,88,20.9,4,2010
Lions  Lions,404,1613,4.0,11,9,2,45,83,20.5,6,2010
Broncos  Broncos,398,1544,3.9,13,6,1,40T,81,20.4,12,2010
Cowboys  Cowboys,428,1786,4.2,10,11,1,60T,104,24.3,5,2010
Browns  Browns,413,1646,4.0,13,7,2,68,87,21.1,13,2010
Bengals  Bengals,428,1522,3.6,8,3,1,42,85,19.9,11,2010
Bears  Bears,414,1616,3.9,10,11,2,68T,76,18.4,1,2010
Panthers  Panthers,428,1846,4.3,7,14,4,60,78,18.2,16,2010
Bills  Bills,401,1720,4.3,6,9,0,39,82,20.4,11,2010
Ravens  Ravens,487,1831,3.8,11,7,1,50,97,19.9,6,2010
Falcons  Falcons,497,1891,3.8,14,12,1,55,111,22.3,4,2010
Redskins  Redskins,400,1614,4.0,8,10,0,39,79,19.8,4,2011
Buccaneers  Buccaneers,346,1458,4.2,9,7,1,54T,74,21.4,8,2011
Seahawks  Seahawks,444,1756,4.0,15,8,3,48T,89,20.0,8,2011
49ers  49ers,498,2044,4.1,14,16,4,55,101,20.3,5,2011
Chargers  Chargers,436,1864,4.3,16,13,2,41,97,22.2,8,2011
Steelers  Steelers,434,1903,4.4,13,9,3,76,96,22.1,5,2011
Cardinals  Cardinals,389,1625,4.2,12,7,2,71,83,21.3,8,2011
Eagles  Eagles,450,2276,5.1,20,20,3,60,134,29.8,9,2011
Jets  Jets,443,1692,3.8,14,7,0,31,92,20.8,8,2011
Giants  Giants,411,1427,3.5,17,4,0,37,84,20.4,6,2011
Saints  Saints,431,2127,4.9,16,14,0,36,116,26.9,3,2011
Patriots  Patriots,438,1764,4.0,18,5,0,33T,107,24.4,3,2011
Vikings  Vikings,448,2318,5.2,18,19,5,67,118,26.3,7,2011
Dolphins  Dolphins,469,1987,4.2,11,11,1,76T,89,19.0,13,2011
Raiders  Raiders,466,2110,4.5,16,21,4,70T,110,23.6,7,2011
Rams  Rams,409,1667,4.1,7,7,2,47T,79,19.3,6,2011
Chiefs  Chiefs,487,1893,3.9,5,13,0,34,89,18.3,5,2011
Jaguars  Jaguars,489,1970,4.0,9,10,3,56,103,21.1,13,2011
Colts  Colts,382,1594,4.2,8,7,2,80T,69,18.1,7,2011
Texans  Texans,546,2448,4.5,18,13,4,56,131,24.0,10,2011
Titans  Titans,376,1438,3.8,8,14,1,48T,71,18.9,5,2011
Packers  Packers,395,1558,3.9,12,8,2,47T,89,22.5,4,2011
Lions  Lions,356,1523,4.3,9,8,3,88T,71,19.9,6,2011
Broncos  Broncos,546,2632,4.8,11,20,1,60T,129,23.6,11,2011
Cowboys  Cowboys,408,1807,4.4,5,11,3,91T,91,22.3,8,2011
Browns  Browns,415,1531,3.7,4,7,1,40,77,18.6,10,2011
Bengals  Bengals,455,1778,3.9,10,6,1,42,93,20.4,7,2011
Bears  Bears,456,2015,4.4,10,18,4,46,97,21.3,7,2011
Panthers  Panthers,445,2408,5.4,26,24,3,74T,139,31.2,3,2011
Bills  Bills,391,1921,4.9,12,17,3,80T,100,25.6,10,2011
Ravens  Ravens,459,1996,4.3,15,13,5,70T,98,21.4,6,2011
Falcons  Falcons,453,1834,4.0,14,11,4,81T,100,22.1,4,2011
Redskins  Redskins,519,2709,5.2,22,16,2,76T,144,27.7,13,2012
Buccaneers  Buccaneers,416,1837,4.4,13,12,5,70T,89,21.4,3,2012
Seahawks  Seahawks,536,2579,4.8,16,14,2,77T,129,24.1,7,2012
49ers  49ers,492,2491,5.1,17,17,2,50T,128,26.0,11,2012
Chargers  Chargers,411,1461,3.6,4,4,1,52,81,19.7,5,2012
Steelers  Steelers,412,1537,3.7,8,8,0,34,80,19.4,8,2012
Cardinals  Cardinals,352,1204,3.4,10,9,3,52,58,16.5,6,2012
Eagles  Eagles,413,1874,4.5,10,14,2,65T,111,26.9,18,2012
Jets  Jets,494,1896,3.8,12,5,1,61,102,20.6,9,2012
Giants  Giants,409,1862,4.6,18,13,2,52T,103,25.2,6,2012
Saints  Saints,370,1577,4.3,10,11,3,56T,64,17.3,0,2012
Patriots  Patriots,523,2184,4.2,25,11,2,47,151,28.9,6,2012
Vikings  Vikings,486,2634,5.4,16,33,8,82T,113,23.3,9,2012
Dolphins  Dolphins,440,1802,4.1,15,13,2,65T,93,21.1,13,2012
Raiders  Raiders,376,1420,3.8,4,8,3,64T,72,19.1,4,2012
Rams  Rams,410,1714,4.2,5,10,3,53,79,19.3,5,2012
Chiefs  Chiefs,500,2395,4.8,9,13,5,91T,118,23.6,11,2012
Jaguars  Jaguars,358,1369,3.8,5,6,1,59T,76,21.2,8,2012
Colts  Colts,440,1671,3.8,11,5,0,26,110,25.0,5,2012
Texans  Texans,508,2123,4.2,19,15,2,81T,114,22.4,5,2012
Titans  Titans,378,1687,4.5,10,13,3,94T,70,18.5,6,2012
Packers  Packers,433,1702,3.9,9,8,1,41,85,19.6,4,2012
Lions  Lions,391,1613,4.1,17,4,1,67,84,21.5,7,2012
Broncos  Broncos,481,1832,3.8,12,7,0,31,112,23.3,8,2012
Cowboys  Cowboys,355,1265,3.6,8,6,1,48,76,21.4,6,2012
Browns  Browns,396,1593,4.0,12,7,0,35,71,17.9,8,2012
Bengals  Bengals,430,1745,4.1,11,13,3,48,95,22.1,4,2012
Bears  Bears,470,1970,4.2,11,11,2,46T,99,21.1,4,2012
Panthers  Panthers,462,2088,4.5,21,17,4,72T,123,26.6,8,2012
Bills  Bills,442,2217,5.0,12,15,5,62,103,23.3,7,2012
Ravens  Ravens,444,1901,4.3,17,10,3,78,98,22.1,4,2012
Falcons  Falcons,378,1397,3.7,12,7,2,43,70,18.5,4,2012
Redskins  Redskins,453,2164,4.8,14,16,1,45T,112,24.7,11,2013
Buccaneers  Buccaneers,420,1612,3.8,6,9,2,80T,75,17.9,6,2013
Seahawks  Seahawks,509,2188,4.3,14,11,1,43,116,22.8,6,2013
49ers  49ers,505,2201,4.4,18,20,3,51,115,22.8,7,2013
Chargers  Chargers,486,1965,4.0,9,7,2,51,104,21.4,5,2013
Steelers  Steelers,394,1383,3.5,9,7,1,43,81,20.6,6,2013
Cardinals  Cardinals,422,1540,3.6,12,10,1,80T,84,19.9,7,2013
Eagles  Eagles,500,2566,5.1,19,19,5,65T,133,26.6,5,2013
Jets  Jets,493,2158,4.4,12,14,2,69,105,21.3,7,2013
Giants  Giants,381,1332,3.5,11,4,1,49T,77,20.2,12,2013
Saints  Saints,391,1473,3.8,10,7,0,38,87,22.3,1,2013
Patriots  Patriots,470,2065,4.4,19,12,2,47T,110,23.4,10,2013
Vikings  Vikings,423,2081,4.9,23,16,5,78T,106,25.1,9,2013
Dolphins  Dolphins,349,1440,4.1,8,8,4,55,61,17.5,5,2013
Raiders  Raiders,437,2000,4.6,16,18,3,93T,90,20.6,7,2013
Rams  Rams,426,1752,4.1,10,11,4,65T,82,19.2,6,2013
Chiefs  Chiefs,442,2056,4.7,17,13,1,46,110,24.9,8,2013
Jaguars  Jaguars,378,1260,3.3,7,7,2,48,71,18.8,5,2013
Colts  Colts,409,1743,4.3,15,11,2,51T,88,21.5,3,2013
Texans  Texans,414,1743,4.2,7,7,1,60,90,21.7,5,2013
Titans  Titans,462,1894,4.1,16,11,0,39,103,22.3,8,2013
Packers  Packers,459,2136,4.7,17,11,5,67,119,25.9,7,2013
Lions  Lions,445,1792,4.0,15,8,0,39,106,23.8,19,2013
Broncos  Broncos,461,1873,4.1,16,9,1,45,107,23.2,10,2013
Cowboys  Cowboys,336,1504,4.5,12,9,4,45,80,23.8,5,2013
Browns  Browns,348,1383,4.0,4,9,2,45,77,22.1,2,2013
Bengals  Bengals,481,1755,3.6,14,5,0,35T,101,21.0,7,2013
Bears  Bears,404,1828,4.5,13,13,5,55,102,25.2,4,2013
Panthers  Panthers,483,2026,4.2,14,10,2,56,122,25.3,3,2013
Bills  Bills,546,2307,4.2,15,11,5,77,113,20.7,12,2013
Ravens  Ravens,423,1328,3.1,7,5,1,47,68,16.1,2,2013
Falcons  Falcons,321,1247,3.9,11,6,2,50T,64,19.9,1,2013
Redskins  Redskins,401,1691,4.2,15,11,0,30,88,21.9,9,2014
Buccaneers  Buccaneers,353,1375,3.9,7,8,3,63,72,20.4,5,2014
Seahawks  Seahawks,525,2762,5.3,20,17,6,79T,144,27.4,9,2014
49ers  49ers,470,2176,4.6,10,14,2,90T,104,22.1,10,2014
Chargers  Chargers,398,1367,3.4,6,6,1,52,75,18.8,5,2014
Steelers  Steelers,423,1752,4.1,10,9,3,81,98,23.2,7,2014
Cardinals  Cardinals,397,1308,3.3,6,6,0,22,67,16.9,4,2014
Eagles  Eagles,474,1992,4.2,16,12,2,53,109,23.0,10,2014
Jets  Jets,507,2280,4.5,11,10,2,71T,112,22.1,10,2014
Giants  Giants,449,1603,3.6,13,4,2,50T,83,18.5,1,2014
Saints  Saints,406,1818,4.5,16,10,2,67,101,24.9,6,2014
Patriots  Patriots,438,1727,3.9,13,7,1,43,96,21.9,1,2014
Vikings  Vikings,413,1804,4.4,12,11,3,67T,90,21.8,3,2014
Dolphins  Dolphins,399,1872,4.7,12,13,2,97T,99,24.8,8,2014
Raiders  Raiders,337,1240,3.7,4,6,2,90T,56,16.6,10,2014
Rams  Rams,395,1635,4.1,11,7,1,89T,79,20.0,7,2014
Chiefs  Chiefs,420,1918,4.6,18,12,3,63T,92,21.9,9,2014
Jaguars  Jaguars,360,1633,4.5,9,15,2,62T,86,23.9,6,2014
Colts  Colts,415,1612,3.9,9,7,1,49T,80,19.3,10,2014
Texans  Texans,551,2161,3.9,12,11,4,51,108,19.6,6,2014
Titans  Titans,356,1447,4.1,6,7,1,52,75,21.1,5,2014
Packers  Packers,435,1917,4.4,14,11,2,44T,104,23.9,7,2014
Lions  Lions,396,1422,3.6,11,6,1,57,72,18.2,7,2014
Broncos  Broncos,443,1785,4.0,15,13,1,47,98,22.1,6,2014
Cowboys  Cowboys,508,2354,4.6,16,19,5,65T,106,20.9,9,2014
Browns  Browns,477,1728,3.6,17,10,0,36,88,18.4,7,2014
Bengals  Bengals,492,2147,4.4,19,14,4,89T,122,24.8,8,2014
Bears  Bears,355,1441,4.1,8,5,0,32,91,25.6,6,2014
Panthers  Panthers,473,2036,4.3,10,7,1,69T,117,24.7,9,2014
Bills  Bills,402,1482,3.7,7,7,3,53,65,16.2,5,2014
Ravens  Ravens,448,2019,4.5,16,24,3,52,113,25.2,6,2014
Falcons  Falcons,372,1498,4.0,11,7,2,55,75,20.2,4,2014
Redskins  Redskins,429,1566,3.7,9,10,2,48,81,18.9,11,2015
Buccaneers  Buccaneers,455,2162,4.8,12,20,5,84,99,21.8,9,2015
Seahawks  Seahawks,500,2268,4.5,10,12,2,69T,128,25.6,7,2015
49ers  49ers,390,1544,4.0,7,6,2,47,83,21.3,8,2015
Chargers  Chargers,393,1358,3.5,4,9,1,53,79,20.1,7,2015
Steelers  Steelers,388,1724,4.4,16,15,3,55,91,23.5,5,2015
Cardinals  Cardinals,452,1917,4.2,16,12,5,63T,92,20.4,8,2015
Eagles  Eagles,442,1743,3.9,15,12,2,63T,110,24.9,10,2015
Jets  Jets,448,1868,4.2,11,13,2,58,99,22.1,6,2015
Giants  Giants,403,1609,4.0,5,8,0,39,77,19.1,4,2015
Saints  Saints,397,1491,3.8,16,6,2,70,98,24.7,3,2015
Patriots  Patriots,383,1404,3.7,14,4,0,38T,87,22.7,2,2015
Vikings  Vikings,474,2211,4.7,18,14,6,80T,113,23.8,9,2015
Dolphins  Dolphins,344,1496,4.3,11,12,1,85T,72,20.9,4,2015
Raiders  Raiders,370,1457,3.9,7,10,2,54,74,20.0,6,2015
Rams  Rams,429,1956,4.6,16,19,7,71T,92,21.4,12,2015
Chiefs  Chiefs,436,2044,4.7,19,13,2,52,116,26.6,5,2015
Jaguars  Jaguars,354,1473,4.2,5,8,1,45,69,19.5,9,2015
Colts  Colts,396,1438,3.6,6,7,0,37T,77,19.4,6,2015
Texans  Texans,472,1731,3.7,7,7,1,41,90,19.1,5,2015
Titans  Titans,371,1485,4.0,10,10,2,87T,66,17.8,9,2015
Packers  Packers,436,1850,4.2,8,9,1,65T,100,22.9,8,2015
Lions  Lions,354,1335,3.8,7,7,0,36,71,20.1,7,2015
Broncos  Broncos,411,1718,4.2,13,11,2,72T,85,20.7,5,2015
Cowboys  Cowboys,408,1890,4.6,8,17,3,50,94,23.0,7,2015
Browns  Browns,380,1529,4.0,5,10,2,54,81,21.3,5,2015
Bengals  Bengals,467,1805,3.9,18,5,0,38T,99,21.2,8,2015
Bears  Bears,468,1854,4.0,13,6,0,27,108,23.1,5,2015
Panthers  Panthers,526,2282,4.3,19,11,3,47,136,25.9,8,2015
Bills  Bills,509,2432,4.8,19,19,4,60T,122,24.0,9,2015
Ravens  Ravens,383,1478,3.9,8,7,1,44,89,23.2,6,2015
Falcons  Falcons,420,1606,3.8,13,8,1,46,95,22.6,9,2015
Redskins  Redskins,379,1696,4.5,17,10,4,66,89,23.5,7,2016
Buccaneers  Buccaneers,453,1616,3.6,8,5,2,45,80,17.7,8,2016
Seahawks  Seahawks,403,1591,3.9,13,7,4,75T,85,21.1,6,2016
49ers  49ers,458,2019,4.4,15,11,2,47,116,25.3,8,2016
Chargers  Chargers,398,1510,3.8,10,9,3,48,90,22.6,6,2016
Steelers  Steelers,409,1760,4.3,13,5,2,60T,97,23.7,6,2016
Cardinals  Cardinals,399,1732,4.3,20,10,4,58T,97,24.3,11,2016
Eagles  Eagles,438,1813,4.1,16,7,0,30,114,26.0,9,2016
Jets  Jets,418,1802,4.3,10,11,0,35T,97,23.2,6,2016
Giants  Giants,398,1412,3.5,6,7,0,25,73,18.3,2,2016
Saints  Saints,404,1742,4.3,17,8,2,75T,105,26.0,2,2016
Patriots  Patriots,482,1872,3.9,19,8,3,44,109,22.6,8,2016
Vikings  Vikings,380,1205,3.2,9,6,0,36,66,17.4,3,2016
Dolphins  Dolphins,405,1824,4.5,14,12,5,62T,90,22.2,11,2016
Raiders  Raiders,434,1922,4.4,17,19,2,75T,98,22.6,8,2016
Rams  Rams,375,1252,3.3,9,6,0,30T,68,18.1,6,2016
Chiefs  Chiefs,412,1748,4.2,15,12,5,70T,86,20.9,5,2016
Jaguars  Jaguars,392,1631,4.2,8,7,3,57T,75,19.1,9,2016
Colts  Colts,409,1628,4.0,13,4,0,33,93,22.7,5,2016
Texans  Texans,456,1859,4.1,8,10,1,45,102,22.4,8,2016
Titans  Titans,476,2187,4.6,16,8,3,75T,115,24.2,10,2016
Packers  Packers,374,1701,4.5,11,13,2,61,91,24.3,5,2016
Lions  Lions,350,1310,3.7,9,6,1,42,76,21.7,2,2016
Broncos  Broncos,410,1484,3.6,11,4,1,64,76,18.5,5,2016
Cowboys  Cowboys,499,2396,4.8,24,17,3,60T,142,28.5,9,2016
Browns  Browns,350,1712,4.9,13,12,3,85T,83,23.7,12,2016
Bengals  Bengals,446,1769,4.0,17,6,3,74T,100,22.4,5,2016
Bears  Bears,380,1735,4.6,10,13,2,69,93,24.5,9,2016
Panthers  Panthers,453,1814,4.0,16,10,1,47,99,21.9,6,2016
Bills  Bills,492,2630,5.3,29,27,5,75T,146,29.7,11,2016
Ravens  Ravens,367,1463,4.0,10,8,1,41,79,21.5,4,2016
Falcons  Falcons,421,1928,4.6,20,15,4,75T,108,25.7,3,2016
Redskins  Redskins,401,1448,3.6,10,3,1,61T,66,16.5,10,2017
Buccaneers  Buccaneers,389,1450,3.7,8,5,0,36,76,19.5,7,2017
Seahawks  Seahawks,409,1629,4.0,4,12,0,33,85,20.8,7,2017
49ers  49ers,408,1662,4.1,15,8,1,61,88,21.6,7,2017
Chargers  Chargers,419,1595,3.8,10,10,1,87T,84,20.0,5,2017
Steelers  Steelers,437,1667,3.8,12,6,0,29T,96,22.0,4,2017
Cardinals  Cardinals,409,1386,3.4,6,5,0,33,66,16.1,9,2017
Eagles  Eagles,473,2115,4.5,9,19,3,71,108,22.8,11,2017
Jets  Jets,427,1702,4.0,13,14,5,75T,77,18.0,6,2017
Giants  Giants,394,1549,3.9,6,8,2,75T,66,16.8,5,2017
