Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Year
Patriots  Patriots,447,1703,3.8,17,6,0,33T,110,24.6,3,2019
Vikings  Vikings,476,2133,4.5,19,15,4,75T,106,22.3,10,2019
Dolphins  Dolphins,349,1156,3.3,10,3,0,28,64,18.3,7,2019
Raiders  Raiders,437,1893,4.3,13,11,3,60T,104,23.8,9,2019
Rams  Rams,401,1499,3.7,20,8,0,27,92,22.9,6,2019
Chiefs  Chiefs,375,1569,4.2,16,10,3,91T,93,24.8,5,2019
Jaguars  Jaguars,389,1708,4.4,3,10,4,81,85,21.9,3,2019
Colts  Colts,471,2130,4.5,17,14,3,63T,131,27.8,3,2019
Texans  Texans,434,2009,4.6,17,13,4,58,112,25.8,11,2019
Titans  Titans,445,2223,5.0,21,14,5,74T,104,23.4,8,2019
Packers  Packers,411,1795,4.4,18,7,3,56T,90,21.9,3,2019
Lions  Lions,407,1649,4.1,7,7,2,44,82,20.1,5,2019
Broncos  Broncos,409,1662,4.1,11,8,1,40,77,18.8,2,2019
Cowboys  Cowboys,449,2153,4.8,18,11,2,44T,120,26.7,7,2019
Browns  Browns,393,1901,4.8,15,11,4,88T,90,22.9,5,2019
Bengals  Bengals,385,1517,3.9,9,8,1,41,85,22.1,3,2019
Bears  Bears,395,1458,3.7,8,5,2,55,85,21.5,5,2019
Panthers  Panthers,386,1819,4.7,20,7,5,84T,82,21.2,7,2019
Bills  Bills,465,2054,4.4,13,13,1,41,120,25.8,13,2019
Ravens  Ravens,596,3296,5.5,21,23,5,63T,188,31.5,12,2019
Falcons  Falcons,362,1361,3.8,10,6,0,28,84,23.2,4,2019
Football Team  Football Team,400,1611,4.0,18,7,1,40,108,27.0,3,2020
Buccaneers  Buccaneers,369,1519,4.1,16,9,2,98T,82,22.2,3,2020
Seahawks  Seahawks,411,1971,4.8,15,11,1,50T,111,27.0,6,2020
49ers  49ers,437,1889,4.3,19,8,2,80T,101,23.1,6,2020
Chargers  Chargers,466,1784,3.8,12,10,0,36,111,23.8,8,2020
Steelers  Steelers,373,1351,3.6,12,10,2,59,81,21.7,7,2020
Cardinals  Cardinals,479,2237,4.7,22,17,2,69T,136,28.4,9,2020
Eagles  Eagles,403,2027,5.0,16,12,5,82T,114,28.3,15,2020
Jets  Jets,406,1683,4.1,9,4,1,46T,94,23.2,2,2020
Giants  Giants,399,1768,4.4,13,9,3,80,91,22.8,5,2020
Saints  Saints,494,2265,4.6,30,14,3,49,147,29.8,9,2020
Patriots  Patriots,502,2346,4.7,20,13,3,49,143,28.5,8,2020
Vikings  Vikings,468,2283,4.9,20,10,1,70T,139,29.7,5,2020
Dolphins  Dolphins,428,1688,3.9,15,7,0,31,100,23.4,5,2020
Raiders  Raiders,457,1916,4.2,20,9,1,43,121,26.5,9,2020
Rams  Rams,473,2018,4.3,19,9,4,61,123,26.0,4,2020
Chiefs  Chiefs,403,1799,4.5,13,10,0,32T,110,27.3,5,2020
Jaguars  Jaguars,337,1519,4.5,9,6,1,47,80,23.7,3,2020
Colts  Colts,459,1996,4.3,20,12,3,62T,129,28.1,1,2020
Texans  Texans,344,1466,4.3,10,5,1,48,83,24.1,7,2020
Titans  Titans,521,2690,5.2,26,20,5,94T,142,27.3,5,2020
Packers  Packers,443,2118,4.8,16,10,4,77T,114,25.7,4,2020
Lions  Lions,367,1499,4.1,17,5,1,54,93,25.3,5,2020
Broncos  Broncos,442,1918,4.3,13,13,3,65,94,21.3,7,2020
Cowboys  Cowboys,430,1788,4.2,14,7,2,42T,115,26.7,7,2020
Browns  Browns,495,2374,4.8,21,21,4,59,133,26.9,7,2020
Bengals  Bengals,411,1668,4.1,13,9,2,55,92,22.4,8,2020
Bears  Bears,393,1647,4.2,12,8,3,80T,93,23.7,1,2020
Panthers  Panthers,407,1704,4.2,19,6,1,45,110,27.0,7,2020
Bills  Bills,411,1723,4.2,16,10,1,51T,119,29.0,6,2020
Ravens  Ravens,555,3071,5.5,24,31,5,72T,166,29.9,11,2020
Falcons  Falcons,409,1532,3.7,13,6,1,62,86,21.0,5,2020
