Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,Year
Chargers  Chargers,194,86,18,10,220,55.8,90,24.6,997,2019
Steelers  Steelers,195,67,15,2,147,46.7,75,19.0,937,2019
Cardinals  Cardinals,197,71,20,13,176,49.6,109,27.5,1000,2019
Eagles  Eagles,229,104,24,8,215,55.0,104,22.9,1104,2019
Jets  Jets,212,65,19,7,162,50.2,61,15.9,956,2019
Giants  Giants,212,79,31,14,187,49.7,89,24.6,1012,2019
Saints  Saints,192,81,13,5,230,55.0,97,24.0,1011,2019
Patriots  Patriots,227,87,15,6,197,52.1,110,24.6,1095,2019
Vikings  Vikings,194,83,15,8,171,53.6,106,22.3,970,2019
Dolphins  Dolphins,207,71,28,13,210,56.6,64,18.3,1022,2019
Raiders  Raiders,201,88,19,11,194,52.9,104,23.8,989,2019
Rams  Rams,208,83,13,3,222,55.9,92,22.9,1055,2019
Chiefs  Chiefs,187,89,10,6,211,55.8,93,24.8,976,2019
Jaguars  Jaguars,220,76,25,12,183,50.3,85,21.9,1020,2019
Colts  Colts,207,86,24,14,165,53.7,131,27.8,1016,2019
Texans  Texans,193,84,25,13,203,57.2,112,25.8,1017,2019
Titans  Titans,185,70,14,4,177,59.6,104,23.4,949,2019
Packers  Packers,203,73,14,7,190,53.4,90,21.9,1020,2019
Lions  Lions,220,90,13,5,196,57.0,82,20.1,1021,2019
Broncos  Broncos,202,64,16,11,162,51.9,77,18.8,954,2019
Cowboys  Cowboys,204,96,16,7,229,59.0,120,26.7,1069,2019
Browns  Browns,196,71,17,7,180,56.6,90,22.9,973,2019
Bengals  Bengals,222,80,26,13,191,53.7,85,22.1,1049,2019
Bears  Bears,216,77,21,7,178,48.0,85,21.5,1020,2019
Panthers  Panthers,207,66,24,12,230,60.2,82,21.2,1077,2019
Bills  Bills,212,76,18,8,162,54.2,120,25.8,1018,2019
Ravens  Ravens,187,88,24,17,171,59.2,188,31.5,1064,2019
Falcons  Falcons,207,87,21,13,258,56.2,84,23.2,1096,2019
Football Team  Football Team,225,88,19,11,184,47.3,108,27.0,1051,2020
Buccaneers  Buccaneers,191,83,14,8,238,58.0,82,22.2,1017,2020
Seahawks  Seahawks,189,76,14,8,216,55.7,111,27.0,1022,2020
49ers  49ers,197,77,15,6,217,58.5,101,23.1,1046,2020
Chargers  Chargers,224,99,25,12,226,54.7,111,23.8,1127,2020
Steelers  Steelers,230,97,19,10,206,48.1,81,21.7,1043,2020
Cardinals  Cardinals,202,80,25,17,211,54.5,136,28.4,1083,2020
Eagles  Eagles,220,82,35,15,177,53.0,114,28.3,1066,2020
Jets  Jets,206,70,18,7,146,50.0,94,23.2,948,2020
Giants  Giants,198,72,22,14,178,55.5,91,22.8,966,2020
Saints  Saints,208,93,16,11,199,53.8,147,29.8,1045,2020
Patriots  Patriots,186,76,17,9,157,55.5,143,28.5,979,2020
Vikings  Vikings,181,74,23,13,212,60.7,139,29.7,1023,2020
Dolphins  Dolphins,202,78,10,8,207,55.9,100,23.4,1021,2020
Raiders  Raiders,198,91,21,16,206,55.8,121,26.5,1036,2020
Rams  Rams,226,98,17,8,206,52.6,123,26.0,1088,2020
Chiefs  Chiefs,194,95,16,9,255,60.7,110,27.3,1057,2020
Jaguars  Jaguars,207,84,26,7,205,53.0,80,23.7,997,2020
Colts  Colts,197,78,26,16,201,54.2,129,28.1,1032,2020
Texans  Texans,193,83,16,9,222,58.0,83,24.1,940,2020
Titans  Titans,182,84,16,10,203,64.2,142,27.3,1031,2020
Packers  Packers,180,89,21,13,216,58.1,114,25.7,990,2020
Lions  Lions,192,79,20,10,220,58.8,93,25.3,991,2020
Broncos  Broncos,212,82,15,4,176,55.5,94,21.3,1030,2020
Cowboys  Cowboys,215,87,31,17,231,55.9,115,26.7,1113,2020
Browns  Browns,196,88,24,8,195,61.9,133,26.9,1022,2020
Bengals  Bengals,213,77,27,19,201,54.0,92,22.4,1040,2020
Bears  Bears,205,71,28,17,218,54.2,93,23.7,1043,2020
Panthers  Panthers,195,76,27,15,192,51.5,110,27.0,993,2020
Bills  Bills,187,93,10,8,240,58.5,119,29.0,1034,2020
Ravens  Ravens,207,101,19,12,142,55.3,166,29.9,993,2020
Falcons  Falcons,221,97,26,15,243,59.6,86,21.0,1078,2020
