Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,Year
Lions  Lions,374,4397,11.8,27,58,8,73,220,58.8,1,2020
Broncos  Broncos,317,3673,11.6,21,49,11,92T,176,55.5,6,2020
Cowboys  Cowboys,413,4511,10.9,25,50,11,69,231,55.9,3,2020
Browns  Browns,315,3701,11.7,27,45,5,75T,195,61.9,6,2020
Bengals  Bengals,372,3793,10.2,19,35,5,72T,201,54.0,4,2020
Bears  Bears,402,3925,9.8,26,42,3,53,218,54.2,5,2020
Panthers  Panthers,373,4129,11.1,16,55,9,75T,192,51.5,3,2020
Bills  Bills,410,4786,11.7,40,66,10,56T,240,58.5,3,2020
Ravens  Ravens,257,2919,11.4,27,38,5,70T,142,55.3,3,2020
Falcons  Falcons,408,4620,11.3,27,59,8,63,243,59.6,5,2020
