Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,Year
Patriots  Patriots,380,4343,11.4,25,49,8,81T,225,59.2,2,2013
Vikings  Vikings,325,3645,11.2,18,54,7,79T,173,53.2,3,2013
Dolphins  Dolphins,357,3966,11.1,24,47,11,67,205,57.4,0,2013
Raiders  Raiders,298,3629,12.2,17,48,8,73T,168,56.4,2,2013
Rams  Rams,301,3360,11.2,22,41,5,81T,165,54.8,3,2013
Chiefs  Chiefs,333,3561,10.7,24,45,7,71T,179,53.8,5,2013
Jaguars  Jaguars,349,3751,10.7,16,44,6,67T,176,50.4,6,2013
Colts  Colts,350,3952,11.3,23,45,10,73T,191,54.6,2,2013
Texans  Texans,371,4183,11.3,19,53,9,66,198,53.4,5,2013
Titans  Titans,328,3710,11.3,22,48,10,77T,172,52.4,4,2013
Packers  Packers,366,4538,12.4,25,65,11,83T,201,54.9,3,2013
Lions  Lions,371,4650,12.5,29,62,10,87,221,59.6,4,2013
Broncos  Broncos,461,5572,12.1,55,68,13,78T,293,63.6,4,2013
Cowboys  Cowboys,375,4226,11.3,33,48,7,82T,213,56.8,8,2013
Browns  Browns,379,4372,11.5,26,52,14,95T,200,52.8,2,2013
Bengals  Bengals,364,4318,11.9,33,57,15,82T,205,56.3,6,2013
Bears  Bears,373,4450,11.9,32,53,11,80T,215,57.6,5,2013
Panthers  Panthers,292,3379,11.6,24,33,7,79T,169,57.9,3,2013
Bills  Bills,299,3373,11.3,16,46,9,59T,149,49.8,5,2013
Ravens  Ravens,363,3914,10.8,19,45,14,74,189,52.1,1,2013
Falcons  Falcons,445,4541,10.2,26,44,9,81T,227,51.0,8,2013
Redskins  Redskins,364,4461,12.3,18,57,20,81T,186,51.1,6,2014
Buccaneers  Buccaneers,301,3623,12.0,21,51,9,56T,162,53.8,5,2014
Seahawks  Seahawks,287,3492,12.2,20,54,8,80T,160,55.7,3,2014
